id,price,moonRank,💎 score (%),storeURL,Background,Body,Border,Equipment,Eyes,Eyewear,Headwear,Mech,Mouth,Rarity,Special
1017,12.5,4561,43.53,https://solanart.io/search/?token=83jsi2fy9GdZkjowVufKm43PjdqLe6r7Jofan8nLbYag,Night,Grey,Green,Cookware,Lazy,3D Glasses,Wind-Up,Silver,Grit,Uncommon,None
1040,50,6776,0,https://solanart.io/search/?token=CJczvxCEm5CzA8a2u9kYyUAydPeEste4HgUYJ4v7pJ9m,Sunset,White,Silver,Joystick,Stern,None,Backwards Cap,Pink,Drool,Common,None
1084,2100,355,0,https://solanart.io/search/?token=3Msxh6xCJhSsacLep8QynpEZFj9FZrF7aw3zx7Rp7kPu,Mountain,Rainbow,Gold,Souls,Dread,Cyclops Blue,Bird Cage,Dark Guardian,Vampire,Legendary,None
1117,15.99,2916,14.57,https://magiceden.io/item-details/FpP5JKXbng7SmAWuW4TAebqjupkjnoFmGUm71HUYFEqt,Sunset Clouds,Tabby,Green,Bamboo,Bright,Sleeping Mask,Trump,Obsidian,Toothpick,Uncommon,None
1221,24,3233,0,https://solanart.io/search/?token=3MQr12qJsdSMbKy9BjYyFQ6WVmMiup6uKMsYdB8p1cJN,Sun,Tri-Color,Green,Rice,Dread,Bitcoin Glasses,Police Hat,Silver,Shark,Uncommon,None
1351,30,1615,0,https://solanart.io/search/?token=95kX1Eeb8JJ7d6jTNeNEFkG1XGpRimqrz5JF3rKYtr2J,Storm,Fox,Teal,Maracas,Sleeping,Bitcoin Glasses,Crown,Opal,Party Horn,Rare,None
1404,200,295,0,https://solanart.io/search/?token=9fVRzMCZMdLncRaoZWyq4Z9rGUkg85eNk5odb6RXs7NG,Mountain,Lava,Gold,Electric Dagger,Lazy,Visor,Valkyrie,Amethyst,Light Gas Mask,Legendary,None
1443,20,5304,0,https://solanart.io/search/?token=t12Q7282sTSd1xCCvr4jbA4nLzrUYn2DnRbMyN27d4j,Night,Orange-White,Green,Honey Stick,Sparkle,Bitcoin Glasses,Sweatband,Blue,Kiss,Uncommon,None
1532,150,634,0,https://solanart.io/search/?token=6BampDKTziSDpwimBJpMQeextDXjni5P8yHfxW3vgkg6,Dawn,Rainbow,Pink,Voodoo Doll,Bright,Ski Goggles,Bird Cage,Sapphire,Party Horn,Ultrarare,None
1691,80,4066,0,https://solanart.io/search/?token=D43cnycr796FBS18dJE9qZcneAYN1bjdze85sHryvk5s,Sky,Grey,Green,Honey Stick,Stern,Thuglife,Police Hat,Silver,Shark,Uncommon,None
1760,20,3328,0,https://solanart.io/search/?token=GArrRJ3Q3uSrUYeYPkdqza7KnTzzesnyUQNckyBHffLi,Sun Clouds,Tri-Color,Green,Dollar Stick,Stern,Thuglife,Beret,Purple,Grit,Uncommon,None
1907,35,1772,0,https://solanart.io/search/?token=2u7zutWWKni3ttReTyUw43NXbogmWctfLfRXKYc58fD4,Sunset Clouds,Tiger,Teal,Pinwheel,Stern,Gear,Mohawk,Opal,Stache,Rare,None
1915,9,10606,56.71,https://solanart.io/search/?token=FakN3uG1BCp8VXXAiEviJsgqLg5CLiRCbHE7HedvZUMc,Night,White,Silver,Art Supplies,Sparkle,None,Tiny Hat,Pink,Pout,Common,None
1927,89,687,0,https://solanart.io/search/?token=DGC48sKkNe7R2BdfVEjb2MBL11CuHSveN78q2jDsz7Ft,Lo-Fi,Rainbow,Pink,Voodoo Doll,Sparkle,Ski Goggles,Afro,Holographic,Rainbow Barf,Ultrarare,None
2103,15,10613,0,https://solanart.io/search/?token=6u6mEZ81rDB6kkm2tqy7zkJCWe2BiRAhfbtbDTBU7iNf,Night,White,Silver,Art Supplies,Regular,None,Backwards Cap,Blue,O,Common,None
2165,88.800003,5918,0,https://solanart.io/search/?token=8tcbWCY1oVXkm47v2SAZ4aRXJHwCaprCH7YLLJqaUJ3n,Sun,Grey,Green,Joystick,Shocked,Sleeping Mask,Cat Skull,Blue,Laugh,Uncommon,None
2221,40,1032,0,https://solanart.io/search/?token=mwednqo3Q42GNvQGnwCYQctUazPregqXMiATWeFebkM,Daybreak,Tiger,Pink,Souls,Tiny,Gear,Afro,Sapphire,Barf,Ultrarare,None
2234,9.5,6197,67.63,https://solanart.io/search/?token=FgrhyFV3uJXC4b4k763nhT1ycdBqHpf6sdVQBGe2dxhH,Sky,Brown,Silver,Flowers,Crying,None,Golden Circlet,Red,Drool,Common,None
2304,10,6136,62.85,https://solanart.io/search/?token=AKGHy9QGq6PAefsAPDdkFfAPuSR7Uhub8uaw5tDdzeez,Sunset,Grey,Silver,Joystick,xD,None,Police Hat,Purple,Laugh,Common,None
2388,23.879999,6187,0,https://solanart.io/search/?token=BTFHXae8kdAUhjCPCLDNMHbyHeKDkvfiARFBeXSwdTK5,Sky,Cream,Silver,Popsicle Stick,Sparkle,None,Leaf Circlet,Purple,Drool,Common,None
2425,10.1,11079,44,https://solanart.io/search/?token=7Dc6YeH6qaW3g6qffKcGBT3VrUCtcc91gs1LMyGDVtVu,Sun,Grey,Silver,Balloon,Pleading,None,Trump,Pink,Pout,Common,None
2437,24.69,3310,0,https://magiceden.io/item-details/9sQWvRLqfuMuHJ6NrTazk451u2p6XSepGy982q94sDGQ,Sun Clouds,Grey-White,Green,Rice,xD,Sleeping Mask,Golden Circlet,Pink,Shark,Uncommon,None
2475,88,800,0,https://solanart.io/search/?token=4mp3epwveWfKT9dXGZbLpha518sHNB54pW7GWqEHvXKb,Storm,Rainbow,Pink,Beer,Dread,Lock-On,Valkyrie,Holographic,Ribbon,Ultrarare,None
2528,12.75,4349,41.8,https://solanart.io/search/?token=LKLRfakzAhkdwcm4WKaQ9hFMzwsDFkk86aK8X4pNUwX,Sky Clouds,White,Green,Pinwheel,Pleading,3D Glasses,Trump,Blue,Beard,Uncommon,None
2579,18.799999,5883,0,https://solanart.io/search/?token=8mF4KQ25SYgPPmpPTN8EwerMgHSQgEnfTop6pju8rLNh,Night,White,Green,Maracas,Bright,Bitcoin Glasses,Trump,Pink,Kiss,Uncommon,None
2670,88,858,0,https://magiceden.io/item-details/KJXiJUJuNqmQ67wS4dFyPTzzu1gUkKVh69TBMuuaShk,Ocean,Gold,Pink,Cat Paws,Lazy,Party Glasses,Valkyrie,Opal,Bubble Gum,Ultrarare,None
2841,60,9243,0,https://solanart.io/search/?token=AMWun7zrfKjDwSvRYUm9WCVExTEkFPoakwxx7EHmhoCN,Sky,Cream,Silver,Art Supplies,Dread,None,Rice Hat,Pink,Grin,Common,None
2860,8.5,7423,73.2,https://solanart.io/search/?token=CKsw9iKpYKi89CJDL9N5Xwxk5288jBjZdTkD2aegEgzg,Sunset,Brown,Silver,Art Supplies,Dread,None,Rice Hat,Purple,Laugh,Common,None
2957,11,6386,51.94,https://solanart.io/search/?token=3tz6ZPSP5Y6Aw9nYhDKpi6Wh9c65fVgKyDeXXBhiXuRd,Sun,Grey,Silver,Bamboo,Crying,None,Backwards Cap,Blue,Drool,Common,None
3009,18.8,4391,0,https://magiceden.io/item-details/HrAoDcdiGmvfk9uiZR53Kk1K6qQ6AjXdWFtNSisCtMwC,Sun Clouds,Grey,Green,Balloon,Pleading,Bitcoin Glasses,Traffic Cone,Rust,Tongue,Uncommon,None
3344,170,377,0,https://solanart.io/search/?token=8RQ4QgtUZ9JXBMaEBnFY9by4mgRGxacJnc3coj48fb4Q,Mountain,Silver,Gold,Thor's Hammer,Dread,Ski Goggles,Bone Helmet,Ruby,Light Gas Mask,Legendary,None
3371,200,2572,0,https://solanart.io/search/?token=GvYN1qzxJgoEQAqDgS9mcyEMUsw1NyGkD9G7uG4EHpo6,Night Clouds,Tabby,Teal,Trophy,Regular,Sleeping Mask,Crown,Rust,Blush,Rare,None
3487,330,61,0,https://solanart.io/search/?token=Ga7szNtj9HjR6oKLjkCMipZLuczJnXoqoqMsdJjjogLH,Moon,Holographic,Gold,Souls,None,None,None,Light Guardian,None,Legendary,Light Soldier
3545,9,6139,72.84,https://magiceden.io/item-details/BUdT9n4DDUXEe4xqPMkRaH3Jgwfhs7Eb58XcFmqsnPQs,Sunset,Brown,Silver,Bamboo,Sparkle,None,Leaf Circlet,Blue,Tongue,Common,None
3761,10.3,10315,44.76,https://solanart.io/search/?token=BYJUxTwQmGbVdSuvBHfZxdf8qUzEFniQCAznmJ83xmrt,Night,Grey,Silver,Art Supplies,Stern,None,Trump,Red,Laugh,Common,None
3778,10.1,9874,48.35,https://solanart.io/search/?token=DPyasBc1LF9oe4mCczQg5FJ5XUssqfvfXvarjrUCnUrS,Sunset,White,Silver,Flowers,Bright,None,Sweatband,Red,Sad,Common,None
3876,222,217,0,https://solanart.io/search/?token=CCTvWzsbycXaXnntcxmyyY6EEyHvFALTekggcvYutNbZ,Galaxy,Holographic,Gold,Voodoo Doll,Lazy,VR Headset,Valkyrie,Light Guardian,Dark Ninja Mask,Legendary,None
4007,30,2252,0,https://solanart.io/search/?token=4tseQtoaTQ7XFppxyHC9DEJ3pooRKRzqzFFcQudNb2np,Daybreak,Tabby,Teal,Chains,Bright,Thuglife,Mohawk,Opal,Party Horn,Rare,None
4057,30,2174,0,https://magiceden.io/item-details/GVqgbtZxGa9c5btZ4TxVyiRsP7T2pzMJzxLrzUisgWsY,Sun Clouds,Tiger,Teal,Trophy,Bright,Glasses,Knife,Opal,Party Horn,Rare,None
4103,1200,1833,0,https://solanart.io/search/?token=2ZYPHFapZpaoM1WhFvs1WqLsRBrSTUiR5gnWvR9BQzK4,Storm,Tri-Color,Teal,Trophy,Bright,Cat Goggles,Traffic Cone,Silver,Beard,Rare,None
4111,75,7688,0,https://magiceden.io/item-details/6e2wfSntFMpQhKECKYEUuLT8i3jhGt2f3F4G2RxixQS3,Sun,Brown,Silver,Bamboo,Stern,None,Banana,Pink,O,Common,None
4170,360,259,0,https://solanart.io/search/?token=EUJtaimWpbWFD22E13V4Edbj1Mv15Ux7eQvNnHvujm4H,Galaxy,Ice,Gold,Ruby Rod,Lazy,Cyclops Blue,Bird Cage,Dark Guardian,Dark Ninja Mask,Legendary,None
4305,60,9567,0,https://solanart.io/search/?token=AnyS6hUvZx6Htxg3RE4TzGCQqoCXymuYk46mFmvAWx6y,Sun,Grey,Silver,Flowers,Dread,None,Banana,Pink,Laugh,Common,None
4515,10,10474,47.18,https://magiceden.io/item-details/7i2RFAJhZofFaufEXr2HbZXEj6LdhzbWhmPdgFLF1oPG,Night,Cream,Silver,Fork-N-Spoon,Pleading,None,Golden Circlet,Red,Kiss,Common,None
4516,50,11058,0,https://solanart.io/search/?token=FJrA1Y1po4EfvuyLeikRbunnbZG6jboyULozZyPkBFMz,Night,White,Silver,Art Supplies,Regular,None,Trump,Pink,Kiss,Common,None
4643,90,607,0,https://solanart.io/search/?token=ELk6ymY91j6wqTY7nWwzRShD66vkazhaFPYn8RRm6wDX,Mountain,Rainbow,Pink,Ruby Rod,xD,Lock-On,Mech Earphones,Amethyst,Party Horn,Ultrarare,None
4700,69,948,0,https://solanart.io/search/?token=DS3SHVAEgbgWMhj81SNAhMxrLmGWXiswSHKykz1Eu5HU,Ocean,Rainbow,Pink,Beer,Angry,Sunglasses,Short Mech Ears,Holographic,Rainbow Barf,Ultrarare,None
5092,45,4474,0,https://solanart.io/search/?token=FyjYS6cfSA91RTB4gezpwKMRGT8UAXkasXNdfcXPVFqL,Sunset,Orange-White,Green,Bamboo,Lazy,Sleeping Mask,Headband,Gold,Grin,Uncommon,None
5167,15,6093,13,https://solanart.io/search/?token=5DZ2jnLetWVXzvYmSshSic6fZQh5YPoedqWU5DDNPC3m,Sunset,White,Silver,Bamboo,Crying,None,Backwards Cap,Blue,Tongue,Common,None
5195,9.5,9361,56.2,https://solanart.io/search/?token=2D49q9xTUggtybVbXcxzWsw4Zci6gMw9qa7oj2cW2zef,Sunset,Cream,Silver,Art Supplies,Regular,None,Trump,Pink,Drool,Common,None
5294,69,7854,0,https://solanart.io/search/?token=6daot92WHr9p6GwqpTyjA12fY1NKEvemb5hoXiYoUcuT,Night,White,Silver,Art Supplies,Bright,None,Rice Hat,Red,Tongue,Common,None
5405,22,5331,0,https://solanart.io/search/?token=5hUeWp88eU8LU9tVqtNHXhLWJjQNVQdmscgw6z9cPe1a,Sky,Grey,Green,Honey Stick,Angry,Glasses,Golden Circlet,Blue,Shark,Uncommon,None
5471,11.5,7589,42.6,https://solanart.io/search/?token=7CUGdTxd81zBZxiAqAnkjHaQyAD4kwV6KpEeF8f8gwGQ,Sky,Grey,Silver,Popsicle Stick,xD,None,Golden Circlet,Purple,Kiss,Common,None
5489,69.419998,4213,0,https://solanart.io/search/?token=DGihTTy44LqTrSn8gLRWAW8PKS5Sm1YFU2LPn1MPAwha,Night Clouds,White,Green,Dollar Stick,Sleeping,Bitcoin Glasses,Rice Hat,Silver,Sad,Uncommon,None
5517,120,2698,0,https://solanart.io/search/?token=PCJPZ5e12t7tRxb5ctVXQZyd5mV2t2oEoirgUAo4Enj,Night Clouds,Fox,Teal,Maracas,Pleading,Bitcoin Glasses,Traffic Cone,Camoflage,Canine,Rare,None
5520,20,4435,0,https://magiceden.io/item-details/E6Bdv4fWi72V9QxJPsABNC9nHkbYjeXgvv4DeMEwdkhz,Sunset Clouds,White,Green,Joystick,Sleeping,3D Glasses,Sweatband,Rust,O,Uncommon,None
5523,10.5,10069,43.65,https://solanart.io/search/?token=2ADonTb3LTwaS8cw8GAsz4knsbz6MajTbSXyn9HFkEUF,Sunset,White,Silver,Balloon,Pleading,None,Sweatband,Blue,Pout,Common,None
5596,10.4,10647,42.56,https://solanart.io/search/?token=HVEK2SSoacRYzLx3VJjcNPGEPLFCqMkpb2hLgu7Cqghk,Sunset,Brown,Silver,Joystick,Pleading,None,Beret,Pink,Kiss,Common,None
5606,19,5164,0,https://solanart.io/search/?token=3t3UPVET21iA9sEnsepYshDrziSJbhQUnfkLCMwtup1i,Sun Clouds,Brown,Green,Honey Stick,Pleading,Sleeping Mask,Knife,Purple,Grin,Uncommon,None
5807,18,3653,0,https://solanart.io/search/?token=D26W3UonJsBisNXDUNQSCQHMFap8mvkSFMjjNupk1UCL,Sunset,White,Green,Lollipop,xD,Thuglife,Mohawk,Camoflage,Blush,Uncommon,None
6141,10000,4520,0,https://solanart.io/search/?token=9EiEn2s8cfEmaF58bXChwZJoRAe9Z1VqsbgJoWNPZ4gQ,Sunset,Grey,Green,Cookware,Bright,3D Glasses,Wind-Up,Silver,Blush,Uncommon,None
6159,60,6758,0,https://solanart.io/search/?token=4rimgaU4ShjyTPnJdTRKjAnaoYzJoFu635jHdHx7wRCn,Sunset,Cream,Silver,Joystick,Tiny,None,Backwards Cap,Red,Laugh,Common,None
6208,13,5846,33.89,https://solanart.io/search/?token=A3bpPyoWd8Pe7ZnBv7ApKXPu6JhAZiw3CsiEBKu7mmnF,Sky,Grey,Green,Dollar Stick,Sleeping,Sleeping Mask,Police Hat,Pink,Kiss,Uncommon,None
6349,66,827,0,https://solanart.io/search/?token=5FsFUUW8LonHJ8wLFLwTaeUFArop9iwGzBju9gSns54E,Ocean,Raccoon,Pink,Souls,Regular,Visor,Short Mech Ears,Amethyst,Ribbon,Ultrarare,None
6527,69,10725,0,https://solanart.io/search/?token=5pcsvvg4oGuKgCA5pjQz2QYRCJ8Um4PnSzVbGp3sQrn,Sun,Brown,Silver,Fork-N-Spoon,Dread,None,Trump,Red,Kiss,Common,None
6550,55,741,0,https://solanart.io/search/?token=8naQV3ebu8jsWLDQ7n5LrJBQbL9qdUpQHpWPfvtxgGYM,Desert,Raccoon,Pink,Beer,Regular,Lock-On,Valkyrie,Emerald,Bubble Gum,Ultrarare,None
6657,900,6760,0,https://solanart.io/search/?token=FCu4u5rboZK2F6witFwWCxKPxsKmjzBd6p7itSPCpWap,Night,Cream,Silver,Flowers,Crying,None,Rice Hat,Purple,Sad,Common,None
6756,4566,104,0,https://solanart.io/search/?token=3kgWWwF1ZQLENnjEG2rJGcqTiifixjP17zt66vRDEsqK,Mountain,Lava,Gold,Souls,None,None,None,Light Guardian,None,Legendary,Light Kitsune
6776,21,1521,0,https://solanart.io/search/?token=55ED8Kd28GLNEhPQ2WFjeCGTjuHrrad464Bd7xyVirnu,Desert,Grey-White,Teal,Alien Antenna,Dread,Cat Goggles,Short Mech Ears,Opal,Toothpick,Rare,None
6840,60,8452,0,https://solanart.io/search/?token=27FCaM1mw6i3RbRT4bm4iSmaJBXWkbWHpGkqW2idA9qL,Night,Cream,Silver,Popsicle Stick,Pleading,None,Leaf Circlet,Red,O,Common,None
6945,13,6107,32.95,https://magiceden.io/item-details/HGw1MeaJ8qF4NodQqferz8Yn1TfCM6RtQ4YW5dQXeyq4,Sunset,Cream,Silver,Popsicle Stick,Crying,None,Headband,Purple,Drool,Common,None
7021,300,2811,0,https://solanart.io/search/?token=AHDxoKBpHeYdzfYbNuV8acEdZ7L9gQdjJCTuTxgJ3eAV,Sky Clouds,Tabby,Green,Pinwheel,Regular,Thuglife,Police Hat,Gold,Canine,Uncommon,None
7312,10.2,9013,50.46,https://solanart.io/search/?token=AL9oi3AkR7L1iQTNqYiM3GwtA3Rn2cBSnMhKkirU3yrt,Night,Brown,Silver,Bamboo,Regular,None,Tiny Hat,Pink,O,Common,None
7315,10,11034,45.16,https://solanart.io/search/?token=6iFNHXDFnrVFDddKeHaze5o2z9eeoMSuwH7X358gsNYq,Night,Cream,Silver,Art Supplies,Sparkle,None,Trump,Purple,Grin,Common,None
7441,20,6506,0,https://solanart.io/search/?token=38P2X4AVCD9dP1TZv1JE4P8dZNRfzdiQY4N7gVqa243r,Sky,White,Silver,Art Supplies,Crying,None,Leaf Circlet,Red,Laugh,Common,None
7502,2000,502,0,https://solanart.io/search/?token=C8T2oc6wGX6voXvWE4kiifzpce3L7fiQbnjTxqjiD5so,Lo-Fi,Rainbow,Pink,Ruby Rod,Regular,Visor,Crown,Amethyst,Scarf,Ultrarare,None
7629,12.4,9820,25.55,https://solanart.io/search/?token=BL7q8uAu6gXU9HwKMYiJMoUgHKDXfgmqUAvdcwx54A7v,Sunset,Grey,Silver,Popsicle Stick,Dread,None,Trump,Purple,Sad,Common,None
7641,180,1171,0,https://solanart.io/search/?token=EeqN3eYrGBEMH2LRU9Un7YGAWCRgPKZgVhq4BaVCA3yQ,Mountain,Tiger,Pink,Trophy,Crying,Sunglasses,Bird Cage,Holographic,Party Horn,Ultrarare,None
7654,23,1705,0,https://solanart.io/search/?token=h5TQ2FdL55BcowdGx2G6CMMrnF2LfntpsMqSVX1sST1,Sunset Clouds,Fox,Teal,Alien Antenna,Tiny,Glasses,Short Mech Ears,Holographic,Stache,Rare,None
7838,200,7379,0,https://solanart.io/search/?token=E3uHv2HCrLr1SxM6qvc8viUs9gXN4CEWAgDWikLrxa4c,Night,White,Silver,Fork-N-Spoon,Stern,None,Leaf Circlet,Pink,Laugh,Common,None
7869,13,9705,19.96,https://magiceden.io/item-details/BM3vozNEFtSRMgeSHjoGYnJNXcaVoifgWqfTfeQtPec1,Sunset,White,Silver,Art Supplies,Angry,None,Trump,Blue,Laugh,Common,None
7895,777,669,0,https://solanart.io/search/?token=GTAqEnwwJzTYXY4RptRNwGCz1PfBwa36Br4BMc2xy4CX,Storm,Ice,Pink,Trophy,Pleading,Lock-On,Crown,Emerald,Tie,Ultrarare,None
7899,58,8781,0,https://solanart.io/search/?token=AgEtcNjgqXr2TckY8e6gZTP4dWhBtjej7CiA29BV2f85,Night,Brown,Silver,Balloon,Crying,None,Scholar,Purple,Kiss,Common,None
7927,37.900002,1205,0,https://solanart.io/search/?token=9VQ1W72gqCxE7RN65sjsao3kFv2MekxcGuua1D3jYM55,Desert,Fox,Pink,Alien Antenna,Regular,Party Glasses,Afro,Opal,Rainbow Barf,Ultrarare,None
7978,10.1,6009,62.3,https://solanart.io/search/?token=4NWjTqJMxiadB4fkSjvhhbq6Gq5AeRe6S3UV4AxsRMYy,Sunset,Cream,Silver,Popsicle Stick,Crying,None,Rice Hat,Blue,Laugh,Common,None
8048,10.75,10371,40.06,https://solanart.io/search/?token=HnvCwsLu7vsdJBVZgVJyUC5JLHVPQAWr4oc2YCmb6KSp,Night,Grey,Silver,Art Supplies,xD,None,Scholar,Red,O,Common,None
8074,10,10460,47.23,https://solanart.io/search/?token=7xCPS3MRphkuxubXuBiDY5bPSBtRLF9KHjk2NzQDADCy,Sun,Grey,Silver,Flowers,Dread,None,Backwards Cap,Red,Kiss,Common,None
8144,10.5,8371,49.78,https://solanart.io/search/?token=DaexLBW6RazjDLeHE2cjuXD7wnbx7y7mSd6UdDHDasEf,Sun,Cream,Silver,Popsicle Stick,Angry,None,Scholar,Purple,O,Common,None
8266,65,8670,0,https://solanart.io/search/?token=7YWGHhCiApMi2kD7pbHUBm9GfJ3uSV5TdqJt3uGKqTbH,Sunset,Grey,Silver,Cookware,Bright,None,Trump,Pink,Drool,Common,None
8291,10,7798,56.85,https://solanart.io/search/?token=kDVkVXZwavxrESbiBRT3QorMhWXKoY2yeLqVMLQW2zL,Sunset,White,Silver,Bamboo,Regular,None,Headband,Purple,O,Common,None
8316,75,4299,0,https://solanart.io/search/?token=8twZJcs8p3nHQENr4g61mTQfA96ApGFfb2CmYmfXgyzT,Night Clouds,Tabby,Green,Pinwheel,Stern,Sleeping Mask,Beret,Blue,Pout,Uncommon,None
8619,79.989998,778,0,https://solanart.io/search/?token=7S45j3sg7zPMuxRBRyHSWg5Tq63aCxQXwzfktE6f7Nvv,Daybreak,Rainbow,Pink,Ruby Rod,Angry,Cat Goggles,Valkyrie,Opal,Gold Chain,Ultrarare,None
8826,90,993,0,https://solanart.io/search/?token=ADxwxJUR7eULzhVtTg7SoDZtPm6Fn8PAGDPLMsLenEa,Daybreak,Silver,Pink,Voodoo Doll,Shocked,Gear,Mech Earphones,Opal,Rainbow Barf,Ultrarare,None
8827,10.87,6274,53.65,https://solanart.io/search/?token=6ZSWSx6jQmJGksx3DXHA6FfS9jYBwD3VqV9DkxE6VRET,Sun,Brown,Silver,Flowers,Crying,None,Rice Hat,Purple,Laugh,Common,None
8940,33,1859,0,https://solanart.io/search/?token=7LivBmDqrvZHP2sqyRuwmkCjnJzEkWmnVVFP5ZCnMWND,Dawn,Grey-White,Teal,Maracas,Sparkle,Party Glasses,Mohawk,Camoflage,Tie,Rare,None
8960,50,1014,0,https://solanart.io/search/?token=7mx9cDBB1M2aP5i16Sh6AwiycKtazY8xwZQ3fzqmRdC6,Desert,Gold,Pink,Alien Antenna,Angry,Gear,Short Mech Ears,Opal,Fish,Ultrarare,None
8969,69.419998,720,0,https://solanart.io/search/?token=DiehVEnKoQDWXAsSCV4UVjamovgTdZzpB2i2CHYAzVVH,Storm,Silver,Pink,Souls,Tiny,Visor,Afro,Holographic,Fish,Ultrarare,None
9094,50,1231,0,https://solanart.io/search/?token=6pSF2feu5XpshjYFA42zWMhxk6WWTsAKaqP9dpD12FMr,Desert,Aqua,Pink,Ruby Rod,Sleeping,Sunglasses,Afro,Holographic,Stache,Ultrarare,None
9196,13.1,3683,40.7,https://solanart.io/search/?token=75ScNf6zL9hp6PHHvMEXVMn4BexH39H95349H26GtwGj,Sky Clouds,Tri-Color,Green,Bamboo,Stern,3D Glasses,Police Hat,Blue,Canine,Uncommon,None
9240,16.5,4492,3.78,https://solanart.io/search/?token=DAbufjnnadQMEXGsz5A2W4U6ULuNxgwsmzPpBofkc4aD,Sunset Clouds,Brown,Green,Balloon,Stern,Thuglife,Scholar,Camoflage,Pout,Uncommon,None
9397,10,8783,53.29,https://solanart.io/search/?token=AfSQt4jDaGHLMgbQRmuG1xrR5Bw9Yzqd7fRJqknop3kj,Sunset,Grey,Silver,Fork-N-Spoon,Regular,None,Trump,Pink,Laugh,Common,None
9600,50,559,0,https://solanart.io/search/?token=2F5egmAhXJNjn6EkRL1MafmW1M7Re1NCmRxFXEHdsLbv,Mountain,Rainbow,Pink,Souls,Sleeping,Party Glasses,Mech Earphones,Emerald,Scarf,Ultrarare,None
9620,16,10027,0,https://solanart.io/search/?token=4L6FZmCpSA7sS38nC3kX6nYzVJ8cea4jhfH27d7DRXyD,Night,Cream,Silver,Cookware,Dread,None,Scholar,Pink,Pout,Common,None
10033,9.5,9418,56,https://solanart.io/search/?token=AF3dXYZNGDxxWoZn1E7mdKtcxvk8XpGewqZP6v6PV2LB,Sun,Grey,Silver,Bamboo,Sparkle,None,Trump,Blue,Laugh,Common,None
10040,11.25,9909,36.72,https://solanart.io/search/?token=57ywzwjjy6HNgoaXP4J9PrCVnnt4RY8FTmnyHfksmwhT,Night,Grey,Silver,Flowers,Sleeping,None,Trump,Blue,Pout,Common,None
10043,9.5,10302,52.81,https://solanart.io/search/?token=7offeQVnYLUrkoZY9XiC81p6WSW4w2RnJkvt48DFnwTM,Sun,Grey,Silver,Flowers,Sleeping,None,Beret,Blue,O,Common,None
10065,9.2,10800,54.01,https://solanart.io/search/?token=6HW9KitKgzmqdVufaaCeP1Nh8RHCguGda6ah8LB4UcmB,Sun,Grey,Silver,Flowers,Bright,None,Beret,Purple,Kiss,Common,None
10074,15,9226,1.69,https://solanart.io/search/?token=8y8u7y8J2SAeRRNNQD8tdeF5fYoZcKaL3Zgj8kYkUbMe,Night,Brown,Silver,Art Supplies,xD,None,Leaf Circlet,Purple,O,Common,None
