id,price,moonRank,💎 score (%),storeURL,Background,Big Item,Floor,Floor Item,Grand,Room,Small Item 1,Small Item 2,Story,View,Wall,Wall Item
8-17,2.7,5517,57.58,https://magiceden.io/item-details/47vxVc5BUQpk2s8xYeTTggU96a9snTtiei55xAPSNWjR,Turquoise,Beachy Chairwplant,Void,,,17,Minifridge,Laptop,8,Pink,Junglevines Tree,
8-12,5,3528,42.59,https://magiceden.io/item-details/51ge9WRySeHQiaHcinJz11FskoX7T5idMTG3ZdwbZMnW,Burgundy,Brown Round Table,Glass,,,12,Classicchairs,Cards Setup,8,Peach,Gray Bricks,Neon Gm Sign
8-9,6,3779,31.58,https://solanart.io/search/?token=C8AvrmHr5Eax6oNpk3rmdxMXhBD2UW4j693mnmCdXGXz,Black,Silk Bed,Silver Tile,Crystals,,9,Brown Bedtable,Hoak Cap,8,Yellow,Lightbrown Planks,Neon Arc Blue Sign
8-5,20,1054,0,https://solanart.io/search/?token=7eRtXGZjMuWchYHv4auy76GaHFjCW69G79LDbVdqis9C,Yellow,Morning Dining Table,Black Wood,Lightbrown Rug,,5,Brown Coathanger,Gmoot Loot,8,Red,Darkbrown Planks,Infinity Sign
9-6,1.4,3072,80.43,https://solanart.io/search/?token=AcFdwFqDkE8adYxY9dccDtgQBYsoJbGweDg413jLZ3iG,Green1,Silk Couch,Silver Tile,,,6,Futuristic Coffeetable,Hourglass,9,White,White Planks,Neon Arc Purple Sign
9-5,2.4,9593,44.17,https://solanart.io/search/?token=8qc6wvjjusGqmwneADmSM6rVrxW4AVJAhyQzfA2T1KEB,Burgundy,Silk Bed,Grass,Bananas,,5,,,9,Peach,Orange Crystal,
10-3,1.49,6455,65.91,https://solanart.io/search/?token=2WySHRRhjP8sw5MoxhDTgLLsVbCRpMTNoV8Km5CiCe6M,Purple2,Weightrack,Mud,Confetti,,3,Barbell,,10,Green1,Gray Panels,
10-14,4.34,1883,55.82,https://solanart.io/search/?token=5R7Fy1ync1uBQdp5M92RHJarQEDxpzQ5LBTKSGaqz885,Purple2,Purple Cornered Couch,Cobblestone,Rocks,,14,Brown Round Coffeetable,Modelbot,10,White,Lightbrown Planks,Gold Clock
10-15,5.8,7761,17.55,https://solanart.io/search/?token=H8rWak6nHFwKqtayXLMfMBmpydywRa8yPhutg5xwstba,Blue2,Bathtub,Lightbrown Tile,Crystals,,15,Hotpottable,,10,Yellow,Void,
10-1,6,6083,22.3,https://solanart.io/search/?token=HRXmEA8hJ49Dir45K12YuifQ7GAqDuGmWBH2XSg4uzE6,Purple3,Gray Cornered Desk,Silver Tile,Sneks,,1,Rendering Supplies,,10,White,Gray Bricks,Gold Clock
11-6,3.28,324,72.7,https://magiceden.io/item-details/7cww8D8865mMDmSg5qQJVZSNmL8kSxFQowSefKA95rpt,Orange,Gold Couch,Black Wood,Lightbrown Rug,,6,Glass Coffeetable,Magic8ball,11,Green1,Darkgray Stone,Gray Clock
11-17,5,20,56.72,https://magiceden.io/item-details/6Q5H9JikhHRHxBpTePbx7h6PQC9pgZx9ufBAuru4cqwm,Black,Brown Round Table,Grass,Bread,,17,Classicchairs,Turtleshell,11,Blue3,Psychedelic Smooth,Engima Poster
11-16,5.5,1491,45.8,https://magiceden.io/item-details/Cckbgw24B2Dpv7gFFqgdRpxvD9SExQMJEwsmt44Bj57t,Black,Orange Couch,Snow,,,16,Glass Coffeetable,Gold Bookstack,11,Pink,Solana Smooth,Helloworld Poster
11-3,5,4651,38.07,https://solanart.io/search/?token=C3vxc79wFA9iufLR66YkGbTAe3ngw2zi1NfQ8fghVAez,Green2,Ice Couch,Grass,Bread,,3,Candymachine,,11,White,White Smooth,Neon Grindset Sign
11-11,10,7362,0,https://solanart.io/search/?token=AJdNpK5eTnN9XftSQTzDWKEbapur19yvQcmLGcZN62np,Teal,Gray Couch Cornered,Mud,,,11,Futuristic Round Coffeetable,,11,Black,Lightgray Stone,Neon Arc Red Sign
12-17,250,106,0,https://alpha.art/t/9gaQo2gFRXyHPorh7xdsz3fJ7SJaXzrfRkmWca4w7TqJ,Green2,Futuristic Cornered Desk,Checkered Tile,Cotton Rug,,17,Garage Supplies,Cactus Terrarium,12,Green1,Void,Portal
13-9,6.99,9355,0,https://solanart.io/search/?token=2N15ZD8mukz8DU627XjTZb48NQYxKFNZzgsDhfgGvnMY,Black,,Black Wood,,,9,,,13,Orange1,Black Smooth,
13-17,8,9335,0,https://solanart.io/search/?token=3aHSjZiKRFkouJgDYCuVv5bBANegqW7Pz3NNuWMz4C5U,Black,,Black Wood,,,17,,,13,Orange1,Black Smooth,
13-1,9,9341,0,https://solanart.io/search/?token=4dJBTxUigHDJyV5SMVqoz3deYfYH2LDPuTc1zEFbvZAE,Black,,Black Wood,,,1,,,13,Orange1,Black Smooth,
14-17,2.75,9368,41.58,https://magiceden.io/item-details/7PVjnV4zMuonxy2oD6XdVxryWk8PNr5a86pC5sxewjUD,Turquoise,White Bed,Lavarock,,,17,,,14,Blu+e1,Ice Bricks,Neon Gm Sign
14-7,4.2,1390,59.2,https://magiceden.io/item-details/7BKUH6wa6zeFmNioJhaFaXU3veypVBbz6uYjkK8YSSDB,White,Ratchet Bed,Lightgray Wood,GN Slippers,,7,Brown Bedtable,Cowboyhat,14,Black,Lightgray Smooth,Neon Arc Blue Sign
14-16,11,9801,0,https://solanart.io/search/?token=BoJL1cyseus4Rgoq3iYJLgRDf7T7FQCvjEe62AAxy42Q,Teal,White Bed,Lightgray Wood,,,16,Brown Bedtable,,14,Goldwhite,Orange Crystal,
15-3,1.2,6966,66.75,https://magiceden.io/item-details/HzKRzXogHJryz3dP15Z8kZM72uv8jEu5JjVpeWfvk31e,Yellow,Ratchet Bed,Gmoot Tile,Cotton Rug,,3,,,15,Blue3,Blue Crystal,Clapperboard
15-13,9,339,15.43,https://magiceden.io/item-details/BVn44iqerXTLge484E1gsiy6RhKxMk6yGHCFct9pRcMG,Green2,Green Couch,Lightbrown Tile,Sneks,,13,Brown Coffeetable,Coffee,15,Blue4,Gold Bricks,Heart Sign
15-18,4.3,1129,59.25,https://solanart.io/search/?token=D8jYjfbWH7nUTeQgMNquDkxUnPqvshq459R1GCx3pDXF,Pink,Green Cornered Couch,Black Slate,Confetti,,18,Glass Round Coffeetable,Oogatoy,15,Blue3,White Planks,Neon Arc Red Sign
15-14,4.5,2314,52.48,https://solanart.io/search/?token=Dvdf6ww9DDajNqJuNEjcfPJQWWJ7uioQ7qvx8PEKPtFE,Rose,Tiedie Bed,Gold Tile,Rocks,,14,Brown Bedtable,Solanavisors,15,Blue4,Lightbrown Planks,Heart Sign
15-6,2.49,5917,58.07,https://alpha.art/t/ExZqKeUCygGut4zW7eUUFnYmBW7HteQYzkKehVbau95g,Teal,Poker Round Table,Black Slate,,,6,,Bananas Basket,15,Pink,Green Crystal,Clapperboard
16-8,2.3,4345,66.3,https://solanart.io/search/?token=6wvSYDA2J9UDTWv1RgUVADdna5A4QMzYGYxq6KxfqhBa,Yellow,Ice Couch,Darkgray Wood,Bananas,,8,Safe,Cigars,16,Black,Gray Bricks,
16-6,5,8624,22.07,https://solanart.io/search/?token=8yohKxZ36cj5dfmsF2xBnTXH4B4CNG9BKms2WHfR6vz9,Black,Gold Couch,Void,Sneks,,6,Bike,,16,Blue5,Bronze Metal,
16-2,24.9,9548,0,https://solanart.io/search/?token=5JUH1pmrf1fxjDZHASVtUxsd6Lqp93L1gfiLhc7EG2Tw,Purple1,Beachy Chairwplant,Sand,,,2,,,16,Black,Psychedelic Smooth,Neon Arc Red Sign
16-14,100,8551,0,https://solanart.io/search/?token=GHiWkcg4qcrog84xBUZ1rw5vHYz1ZNE2wN4DYPtfAa8h,White,Black Bed,Hay,Rocks,,14,,,16,Blue4,Bronze Metal,Neon Gn Sign
16-11,6.99,2331,27.51,https://alpha.art/t/6AFoHw22Y8RUV3T5Pj87bEQ2gna2VSd4zP3qUezk3f3U,Purple3,Marble Round Table,Silver Tile,Cotton Rug,,11,,Solanauthelmet,16,Pink,Darkgray Smooth,Neon Arc Blue Sign
17-19,2.6,1434,75.03,https://magiceden.io/item-details/SpjbvFiUwSs8FEJyR4eRcXRHHeNzVCemQanbjWeJ7U1,Blu+e1,Silk Couch,Snow,Bananas,,19,Cardboardbox,Coffee,17,Yellow,Gray Panels,Neon Grindset Sign
17-16,12,590,0,https://magiceden.io/item-details/93usm6qTwUmLfns37EGktjsyinjk9G1yNXhKbkgvGYKc,Pink,Marble Kitchen,Darkbrown Tile,Cotton Rug,,16,Toaster,Mango,17,Peach,Jungle Tree,Dartboard
17-15,1,2357,87.31,https://solanart.io/search/?token=8XmmXeuoMvUgskutg879gLDY4vKSnP3krt1A4J7ym8DG,Rose,White Bed,Lavarock,GN Slippers,,15,Brown Bedtable,Spartanhelmet,17,Black,Void,
17-4,2.22,1144,79.99,https://solanart.io/search/?token=7mJvvr41eEMqLwPgA7Mi1CiLSmDaobK9FbYj5bzsJpeM,Blu+e1,Blue Couch,Silver Tile,Bananas,,4,Glass Coffeetable,Hourglass,17,Peach,Lightgray Stone,Television
17-3,4.5,6132,37.11,https://solanart.io/search/?token=Eo3GCRKWVeDjWewdTwBtMdNBkXMmnDKYADvmJNAyfJRH,Green1,Gold Couch,Carpet,Crystals,,3,Candymachine,,17,Green2,Junglevines Tree,Television
17-7,8,2593,16.36,https://solanart.io/search/?token=Akir1ZsDfw423uvYSQJL3mK7Koz4G3tsk7xAWzzp7sRT,White,Beachy Chairwplant,Checkered Tile,Crystals,,7,Safe,Headphones,17,Orange2,White Planks,Neon Gmi Sign
17-11,100,367,0,https://solanart.io/search/?token=5n6kCQjSQVKpFLaE47XRKcCzXtBkqNuW7zy5EuHr2hEv,Orange,Paintersdesk,Gmoot Tile,Lightbrown Rug,,11,Easel,Camera,17,White,Concrete,Clapperboard
18-13,3.6,4601,52.27,https://solanart.io/search/?token=7yZ12bJjbpLzoKsXVQJUdpYK8eFezu5S9t3PsWpt6XZA,Orange,Lunch Dining Table,Darkgray Wood,Confetti,,13,Brown Coathanger,Gmoot Loot,18,White,Pink Smooth,
18-6,7,5010,16.62,https://solanart.io/search/?token=Fy6x1kxfFTBGYJvrT1G6we3iHuYKBhp8yj1rCMadiGje,Blue2,Silk Bed,Dirt,,,6,Brown Bedtable,Hoak Cap,18,Blue2,Lightgray Smooth,Neon Gmi Sign
18-17,9.9,7567,0,https://solanart.io/search/?token=FMcGKmpD5ov4fzRiF4J3ehiJ7Wg1ew7DGAP99NeiHBYk,Green1,Ratchet Couch,Black Slate,,,17,Cartire,,18,Pink,White Planks,Dartboard
19-19,1.5,3849,76.3,https://magiceden.io/item-details/J58P7igzbAJxjGkentYAWUbtYChEUemGtUGkcydpB9FH,Blue2,Marble Kitchen,Darkbrown Tile,,,19,Coffeemachine,Knifeblock,19,Goldwhite,Darkgray Stone,Clapperboard
19-6,2.5,5561,59.41,https://magiceden.io/item-details/E2yaFakoiG2ZwuZyNeoshhScPPbUwaemXKTVFvqpWPbR,Blu+e1,Gray Deskwchair,Lavarock,Bananas,,6,,Gold Supplies,19,Black,Solana Smooth,Neon Gmi Sign
19-11,2.61,2049,72.45,https://magiceden.io/item-details/GYwRfAoQexyTbqRkz5ajX98twGv32iw6HgWhS9DhCq5P,Black,Brown Round Table,Brown Wood,Sneks,,11,Officechairs,Oranges Basket,19,Peach,Gray Bricks,Sol Black Sign
19-7,3.2,3873,59.2,https://magiceden.io/item-details/25Lu4WgMjGxZeFy2dCWgkHnsJsqYkE7HiZPg91j36k3R,Teal,Morning Dining Table,Lightbrown Tile,,,7,Silver Coathanger,Normal Loot,19,Green1,Pink Smooth,Neon Gm Sign
19-17,4.5,360,60.35,https://magiceden.io/item-details/AS9bmETdtfnEnVpLbbWihngG7aKoDBBBKWTeMXs8z23J,Green2,Beachy Chairwplant,Snow,Confetti,,17,Beachy Cabinet,Console,19,White,Darkbrown Planks,Infinity Sign
19-1,5,6443,30.85,https://solanart.io/search/?token=FkxQ9TLJhdH9PxGCwvfDw4SEENShTeDaJeQMMG9TuF6d,Teal,Purple Cornered Couch,Hay,,,1,,Plushiewhale,19,Red,Forest Tree,Candles Shelf
20-5,50,8977,0,https://solanart.io/search/?token=G74KKzvEYMEDPrnC2AEU3vZu6N2JfpM5wYUWTTtEdUHF,Black,Ratchet Couch,Lightbrown Tile,,,5,Crayons,,20,Black,Gray Bricks,Candles Shelf
21-14,3.5,6574,45.33,https://solanart.io/search/?token=3kuDWDJ9gbZxwujWQVCVifQGkwWLw5y7heFp5qR8Kzc9,Green1,Beanbags,Cobblestone,,,14,Minifridge,Gummybear,21,Black,Steel Metal,
21-2,4.7,319,58.52,https://solanart.io/search/?token=2FFDY6uTb1qQkG7S24Hww57hiPH6NmbyF6bTW9NE2UPe,Purple3,Weightrack,Cobblestone,Crystals,,2,Gymbench,Shakerbottle,21,Pink,Jungle Tree,Infinity Sign
21-13,6,803,43.57,https://solanart.io/search/?token=EVX4qtjZyMfnTngq3xndSPeiPsoFC8fWtUh8BR8Mfrvp,Purple1,Weightrack,Gold Tile,,,13,Yogaset,Kettlebells,21,Pink,White Smooth,Portal
21-12,49,5577,0,https://solanart.io/search/?token=9WBdas4cHq1gwF5FsVzytdkYQPjasRp1wY5MvVA4f5n2,Black,Morning Dining Table,Black Wood,Lightbrown Rug,,12,Brown Coathanger,,21,Red,Brass Metal,Katakana Sign
21-16,2.7,4870,60.19,https://alpha.art/t/FrmowP3qSCDPPz8QsGbHQPNhDre6F2z78GEfvnj2P8C3,Orange,White Bed,Darkbrown Tile,Sneks,,16,Brown Bedtable,3DGlasses,21,Pink,Gold Bricks,
22-10,1.2,5814,71.39,https://magiceden.io/item-details/88UYBbegLfEL3jMBBCiSXTpZcnGRpTDwuFZgr3157Z4J,Green1,Green Couch,White Slate,Crystals,,10,Crayons,,22,Pink,White Planks,Binaryclock
22-9,1.6,1430,85.04,https://magiceden.io/item-details/FCriWCVWvNaB5xXp38qZQimRVv6LUuVTYtjeN5aZ9Mtk,Blu+e1,Gray Couch Cornered,Lightgray Wood,Bananas,,9,Plantpot,Modelbot,22,Blue2,Silver Bricks,Clapperboard
23-1,4.5,5360,40.22,https://magiceden.io/item-details/6u71eZFo7tQpqXyv84nEEadEeokLKRS5Yv7qtKZjqfBw,White,Beanbags,Grass,Rocks,,1,Safe,Gummybear,23,Purple,Lightgray Stone,
23-7,2.2,3953,68.88,https://solanart.io/search/?token=a5tpsL8ZS7hDXh2oAcDtitz7NZf54tEjyAdzXJvanfg,Turquoise,Futuristic Cornered Couch,Black Wood,,,7,Futuristic Round Coffeetable,Oogatoy,23,Black,Jungle Tree,Neon Gmi Sign
23-19,2.95,5248,56.17,https://solanart.io/search/?token=HqGEvJ8vrn7Az8gmLYJkDWS9wvoGxYBpKKcBGPuBJjnY,Blu+e1,Black Bed,Grass,Rocks,,19,Brown Bedtable,Blue Cap,23,Black,Steel Metal,Candles Shelf
23-9,5,6364,31.17,https://solanart.io/search/?token=9xaxRtg9HfBQYNzqS6YRSBFDEkvTejNZ2oavm4EZSEBV,Purple3,Tiedie Bed,Sand,Socks,,9,,,23,White,Steel Metal,Neon Gmi Sign
23-4,8,416,25.12,https://solanart.io/search/?token=7Atv1dncJ7mEVJqaLEKnnqMEEbwNriz2XRM3iDYyWwNP,Teal,White Bed,Black Slate,Football,,4,Brown Bedtable,Pearlnecklace,23,Green1,Glass,Sol Black Sign
23-13,18,542,0,https://solanart.io/search/?token=9WByDtFUvUitG3E7ALARZKmN3qEH3KqqEwKoYe62byEd,Yellow,Weightrack,Black Slate,Rocks,,13,Yogaset,Shakerbottle,23,White,Darkgray Stone,Sol Black Sign
24-4,2,1025,82.67,https://magiceden.io/item-details/FerQ9VBUtZwQzATxJVnsPYJ2NXo43ZkizDhj6Tso5zcP,Purple3,Silk Bed,Sand,Football,,4,Brown Bedtable,Hoak Cap,24,White,Futuristic Panels,Neon Gn Sign
24-11,3.39,1817,65.58,https://magiceden.io/item-details/DecygMr1AMgrnS2WsMugtDZ7gL8R98ZwPa9M7hmu1kz5,Burgundy,Marble Kitchen,Brown Wood,Rocks,,11,Microwave,Bagels,24,White,Lightgray Smooth,Neon Gn Sign
24-15,1.7,2814,78.47,https://solanart.io/search/?token=3GW9Ubp99nQQ8Qd6AWwVE5vNNqLxWF3Y5Rc9kMxKAzWs,Burgundy,Marble Kitchen,Lightgray Wood,Fish,,15,Microwave,Bagels,24,Orange1,Futuristic Panels,
24-7,10,2254,0,https://solanart.io/search/?token=4uSPUdKy1SxUzmqWdHutF1kc5Zw1aeTNzeJsZgc57NjV,Yellow,Ice Couch,Carpet,,,7,Brown Coffeetable,Schroom,24,Blue2,Bronze Metal,Neon Gn Sign
25-15,2.18,2787,73.78,https://magiceden.io/item-details/5qeBwEJJrD8yyQCoMfVSPctawEC8XFwFiMhmmBTqg2H7,Black,Gray Cornered Desk,Black Slate,Rocks,,15,Rendering Supplies,Skulls Terrarium,25,Black,Ice Bricks,Neon Gm Sign
25-16,1.5,918,88.1,https://solanart.io/search/?token=BSj5ujU5hNp5PwzGbMhrNui6ZGUQuuFWLgHh4vt51mM6,White,Tiedie Bed,Snow,Baseball,,16,Brown Bedtable,3DGlasses,25,Peach,Gray Bricks,Neon Arc Purple Sign
25-18,3.9,2853,56.31,https://solanart.io/search/?token=EmYznhnikBhmRX1wvhneLnrLGedNoTnaTxP1os2txrRs,Green1,Green Cornered Couch,Lavarock,Crystals,,18,Holotable,Modelspaceship,25,Orange1,Gray Bricks,
25-19,4.5,1920,54.07,https://solanart.io/search/?token=2YiE2Fgcw7KRMoDB4b1ZPcUfYceqTRi15LPU39RFP94Y,Blu+e1,Blue Cornered Couch,Snow,Confetti,,19,Glass Round Coffeetable,Oogatoy,25,Orange1,Psychedelic Smooth,Neon Grindset Sign
26-11,4,7735,35.65,https://magiceden.io/item-details/BYVbZhLnnF4ignjt2vefQ9bCbA8iZdDJ8TPyCrEJdono,Green1,Djstand,Gray Tile,Confetti,,11,,,26,Blu+e1,Blue Crystal,Neon Arc Red Sign
26-9,1,9183,59.82,https://solanart.io/search/?token=BTbwhGqgUoBArahQ9wJLzb7NFhxzARiQduFmS6cjTBPf,Pink,Lunch Dining Table,Gmoot Tile,,,9,,,26,Blu+e1,Psychedelic Smooth,Gray Clock
26-2,5,2157,48.11,https://solanart.io/search/?token=Vjt5o4fbmyqpT16xWmJDPqLfwtKbQxAiLrD4rD6Esi2,Blue2,Green Couch,Hay,,,2,Glass Coffeetable,Spacemarine,26,Orange1,Lightgray Smooth,Dartboard
27-14,3,1874,69.25,https://magiceden.io/item-details/3cdsgms215dyBc17HC7Pjq7NgsnsS338x43uPyzPfS8u,Turquoise,Green Cornered Couch,Gold Tile,Rocks,,14,Crystal,Modelspaceship,27,Goldwhite,Ice Bricks,Gold Clock
27-18,6.9,6260,12.59,https://magiceden.io/item-details/BzHg1EoJ4zCQVu5WGPgs8NyKVdHiqNNUuuje8M4zgBYk,Pink,Blue Couch,Black Slate,Crystals,,18,Bike,,27,Purple,Void,Gold Clock
27-7,9.69,7011,0,https://magiceden.io/item-details/49iWoxDVavt5ETKf3cYUbcuizHm8Yd6G61v5dxzYvyqk,Blu+e1,Poker Round Table,Glass,,,7,Officechairs,Cheesewheel,27,White,Glass,
27-5,2,1943,78.98,https://solanart.io/search/?token=EsFhPXNajy6xJNRjgEFv1vw1BPYMAYS4QFUR7Z5MMM4w,Green1,Bathtub,Hay,Sneks,,5,Safe,Cash,27,Blue4,Futuristic Panels,Neon Gm Sign
27-1,2.3,9196,46.77,https://solanart.io/search/?token=AVS4wQ7biZ5i8Yt8k4s6qQ4X6AzWZ9V6M1C45FVA7j4Z,Blue2,Tiedie Bed,Hay,,,1,,,27,Red,Pink Smooth,Dartboard
27-11,4.1,3160,53.07,https://solanart.io/search/?token=4LcS7TV5XiYeouP2jtKQR9B1pN9fu1hPdRWykoW8DeVe,White,Orange Couch,Dirt,Bananas,,11,Cardboardbox,Coffee,27,Green1,Lightgray Smooth,
