id,price,moonRank,💎 score (%),storeURL,Background,Chest,Eyes,Hat,Model,Mouth
153,1,939,64.71,https://magiceden.io/item-details/CRNo5yKSKJPyAi6MYF8jnwTbgsTJq3iEJxops2KFmFnP,Wave Turquoise,Stethoscope,Black,Rice,Long,None
154,6.88,777,10.75,https://magiceden.io/item-details/CK42m2a3HgniJJP43LmhYe1jhCBy5u5DG77UndYGGSVD,Scorched Grey,Tea Light,Brown,Bowler,Portrait,None
158,3.7,964,36.96,https://magiceden.io/item-details/2ucX5mBR3GdHDYru6tW5F2yWX4fivfPkK9YJVC6NSzZF,Solid Dark Blue,Button,Green,Goggles,Standard,None
161,1.8,200,78.82,https://magiceden.io/item-details/9AM9bq9Ysxk2KmeocnBqv5RYns3U7FDzf9xMwZmWsoSf,Desert,Bow Tie,Grey,Bowler,Hooded,Mask
166,4.6,587,39.24,https://magiceden.io/item-details/3Xi4Bos4rc7pVBcJ8zy4E48G8iYHHCZCrNJkUAoY4Nc3,Scorched Turquoise,Talisman,Black,Bowler,Portrait,None
173,2,572,65.69,https://magiceden.io/item-details/Aecxrzdh1L9jUTaeUmnhEJLbKAVUYwFwutLkJCXrV7ix,Wave Red,Diamond,Black,Winter,Long,None
176,1.98,687,62.45,https://magiceden.io/item-details/3sJWbztD8TmAW7rZYVowrKcq8jottkFrJnxypHGwLPjz,Japan,Heart,Brown,Sombrero,Long,None
177,1,557,76.14,https://magiceden.io/item-details/AdVaZauxqosegshTDtbJwgzMRugoHrCxR7E2nzWbQArC,Solid Pink,Button,Orange,Crown,Portrait,None
179,1,125,89.06,https://magiceden.io/item-details/C48F64JJew2o5F7VD2ytdmRNfd6U5avVHKjA3oxT3ueJ,Wave Camo,Flower,Light Red,Cap,Demon,None
180,2,93,80.02,https://solanart.io/search/?token=7dHVUBk4wGHGk1VmZFbJP1JrixZV8SHNahuwSdXya2G6,Pattern Red,Spider Grey,Blue,None,Demon,Cigar
191,0.95,909,66.1,https://solanart.io/search/?token=3axEXrXqE1u6BAL2VAVkkRUJkT67SFVUdC7a42Lmc27V,Solid Turquoise,Hourglass,Green,Explorer,Demon,None
192,1.25,147,85.9,https://magiceden.io/item-details/J9iqMuGqX9oRMSS32CPzmUfdAuyHiQXJKxuJsp9RQtXz,Solid Pink,Button,Light Red,Chullo,Standard,Smile
200,1,700,71.86,https://magiceden.io/item-details/78baXUniYwLptSFknn511xYcB1E7yqDcQ9YyMrgLNJui,Solid Black,Crystal Ball,Black,Priestess,Hooded,None
205,3,538,56.7,https://magiceden.io/item-details/2XHzLsBbJTdf5hq4WWNXBsxNd9fEVWzQpZtQz5nMrcKP,Cave Fire,Spade,Brown,Headpiece,Hooded,None
209,3.5,60,66,https://magiceden.io/item-details/87HKe3DupbPjygze3FzLhdid7Mne4Dc76NN5uky4vNG2,Wave Orange,Tea Light,Brown,Cap,Long,Fangs
210,1,1255,55.25,https://magiceden.io/item-details/FAdrpTg3YqtvMEBtiyKj3woTL6jwxjwLqcim8Pp8A6dc,Solid Blue,Alien,Black,Headband,Long,None
213,5.89,372,32.77,https://magiceden.io/item-details/HH1dtQUmgXxwSDa9omrDoQvDQWz5bgUjcComcW2u5ydB,Solid Pink,Alien,None,Horns,Standard,None
223,0.69,1056,64.31,https://magiceden.io/item-details/AqKdPVtLCt95BUjbdk4sjbeidANS8BofJRSwdHtA8ZPt,Solid Orange,Candle,Yellow,None,Portrait,None
227,5,778,29.52,https://magiceden.io/item-details/4FGHyDn8Lk9zYE8ZCC5XZEDPnzRh4Z2QCyzysX4qCCBr,Money,Heart,Brown,Explorer,Long,None
230,0.4,835,73.82,https://magiceden.io/item-details/4pLGi4sBUhTbn2SkbwkwQtHrNipo5UKWk5osunWNXY1d,Wave Orange Black,Stethoscope,Brown,Headpiece,Standard,None
236,1,596,74.97,https://solanart.io/search/?token=Fom9v2MR3uZpqMGE5YRvXcV146NJmaaxTTZRLthKFKyB,Desert,Diamond,Black,Explorer,Standard,None
237,1.75,243,78.03,https://magiceden.io/item-details/3NUAii7NL4Ybw4uRK6CZTvJccbvPh2ApKjyRxm7GcjUK,Space,Flame,Yellow,Goggles,Demon,None
248,1.189,890,64.28,https://magiceden.io/item-details/DLKuSjBFtsB7PpiwPfPdhENw4s1NkQMSgtayLBx1Uaon,Solid Orange,Ghost,Grey,Headband,Hooded,None
252,100,58,0,https://magiceden.io/item-details/5kMg8z5T7woKJM196hharP5jnEWd2akaaqVk9Bi6BWBf,Cave Fire,Ghost,Purple,Chullo,Demon,None
255,0.38,420,86.43,https://magiceden.io/item-details/Br9K3RMpNtfi4b62dpCZ1N4jXZGWLuketP4bEUKAAo6C,Solid Turquoise,Lantern,Black,Rice,Portrait,Mask
258,2.1,1263,44.01,https://magiceden.io/item-details/EMSFEnzJJaC2WCBwpRr5QY2DCBgjD9jzLCiBWHkYUYAR,Solid Pink,Rook,Brown,Goggles,Demon,None
259,4.2069,194,54.93,https://magiceden.io/item-details/DuWDbUu6uEaZzuoMyXRtf6xTFd2iVmTM4youP5vmMMyL,Wave Grey,Rook,Dark Green,Bowler,Hooded,Smile
260,1.9,368,72.79,https://magiceden.io/item-details/2S1f2JPUrZKByWr9ZRmNmvBYFLsW95MxbD3WUbrL3LaR,Wave Grey,Devil Tail,Brown,Beret,Portrait,None
266,10,932,0,https://magiceden.io/item-details/C4kLjbt4VNaF41EVCiXnMo8uHnL6g14kAZWNu9adiSz4,Solid Green,Talisman,Brown,Bowler,Long,None
270,6.99,338,22.79,https://magiceden.io/item-details/85vDBhXPpaF6jc45HBauM8MwPnf3W3gbWZh4S1fehzKh,Cave Fire,Tea Light,Black,Tiara,Long,None
271,1,312,83.47,https://solanart.io/search/?token=BMKc5LAv3r7sxJ9jZQmGmutU8XZSmuZezbGwrk3LQGUQ,Wave Pink,Money,Brown,Monkey,Portrait,None
275,1.44,107,85.2,https://magiceden.io/item-details/F1ENSXGsb7ahzXbY5rxbQ2NvY6dwr8QSEHd4DRXkaBNz,Solid Black,Doll,Green,None,Demon,Mask
276,2.6,1257,39.19,https://solanart.io/search/?token=HbRiazA9E3sCC7TAxTbJUX87hZAXg56Hr3jaKZCchfp2,Solid Black,Watch,Black,Beret,Hooded,None
278,1.5,794,64.05,https://magiceden.io/item-details/CP5hv5bvG7hYRtCHre8nZQx4k2NwogQYZLedYqksF6k7,Solid Turquoise,Stethoscope,Red,Halo,Standard,None
281,5,1039,21.72,https://solanart.io/search/?token=EiGZk6iNUF8mKRVzExyA92TLBJgASVGUQrtvXE1nWTvv,Solid Turquoise,Rice Ball,Black,Headpiece,Standard,None
285,2,1245,45.55,https://solanart.io/search/?token=DCMb88QwcXDZ2y4o4Y1AM6Bsjibxf1FYzFr6EN74bv5m,Desert,None,Grey,None,Long,None
287,0.8,1276,56.62,https://solanart.io/search/?token=8g6xKxmEV8CqCjLe19RBooXYNAn1wGcieTYtCXe9rqU6,Solid Green,Lantern,Grey,Beret,Portrait,None
289,6.9,69,31.74,https://magiceden.io/item-details/DGeEp9xaBDufs1PZ58DAQj3nRA5psPtfaZQXfpq4YteD,Solid Black,Staff,Blue,Priest,Hooded,Mask
292,1.25,379,78.96,https://magiceden.io/item-details/GZt9PBmHSuh4LsfMBgbsDTav1UvqjFsRy2QYaeHzim37,Spider Web,Spider Blue,Dark Green,Explorer,Long,None
294,1.3,567,72.84,https://magiceden.io/item-details/FxjcT6cTz6FJoa3dKsoZPcFp8Whxi2xQc1Kz9MRhEtxd,Scorched Grey,Hourglass,Turquoise,Explorer,Standard,None
297,0.895,1022,63.27,https://magiceden.io/item-details/2C7SZZzajVYZNMi6uchiVYGSEyRJJjJb1eTq9Rgq8AFD,Solid Purple,Rice Ball,Grey,Cap,Long,None
305,14.9,17,0,https://magiceden.io/item-details/En9xBx79vrcjTmCzzmyfepuSTFFQKCBh6HrX7sGqkZWV,Solid Orange,Spider Grey,Yellow,Monkey,Hooded,Smirk
320,2.25,1041,49.16,https://solanart.io/search/?token=9GqpMu5RGGkprgu8u3WAi1zMLUWf6jgJCox9dMrPRA1p,Solid Black,Rice Ball,Red,Beret,Portrait,None
323,1.5,865,61.92,https://magiceden.io/item-details/HDjqJaaytAVP5jy5GG9v1hx6SiDawSXSHGzNrPV53WdT,Wave Solana,Candle,Grey,Goggles,Standard,None
324,1.85,1187,48.79,https://solanart.io/search/?token=AN9kfY324pro7u2Bp4hf8wR2MKpktoiXmikLsPAgpDSm,Solid Blue,Spade,Grey,Cap,Long,None
325,3,913,45.49,https://solanart.io/search/?token=FdaELWzQGyTtw1RkirfWBvW55L8jEhJDQWAnB3PtUacy,Wave Brown,Bow Tie,Brown,Winter,Standard,None
326,2.2,790,57.16,https://solanart.io/search/?token=AjWd9kQsnReRqRqRF5gvgLE1dtsu6qgVEto84eYpyhez,Graveyard Yellow,Rook,Blue,None,Hooded,None
328,1.42,63,86.72,https://magiceden.io/item-details/HGj8469xkLVoBeYckTuDJA58onSkYdwpuNKkX2vtzxhj,Stars,Smiley,Black,Explorer,Hooded,Mask
329,3.5,967,38.87,https://magiceden.io/item-details/9XE8BTFVzQC7gqK4RhsTYGDa4sHae5TKF96rpE5ZHCT2,Solid Black,Money,Grey,Goggles,Standard,None
359,0.85,678,74.02,https://magiceden.io/item-details/8aXMjLKtzHMQtWMkEYcpU1sfB5Biwhdb4SWSKHJMe3Sk,Solid Grey,Button,Brown,Crown,Hooded,None
362,1.9,990,54.18,https://magiceden.io/item-details/GJFZk3Notyw4U1z7VTRxhzgiXJaGfKaZyZkqsLbxkhDr,Wave Orange Black,Rice Ball,Blue,Bowler,Long,None
367,3,114,69.39,https://magiceden.io/item-details/9WaCppx3VUCyuWQP2kXrg5ooYXnrUErnGPHCuZ8VQ3ZS,Space,Cross,Red,Headband,Standard,Smile
369,11,204,0,https://magiceden.io/item-details/FvqJvG5NEsnnv17YZ7rfJug3WbLh4QpXQXwiR62YvV8N,Moon Black,Banana,Orange,Headpiece,Portrait,None
376,0.298,635,80.82,https://magiceden.io/item-details/6bZ4m2o6EyHotTLKgmK1hVQaAWQocbZi78Hn8tEftdT2,Solid Purple,Smiley,Blue,Crown,Hooded,None
378,2,956,54.2,https://magiceden.io/item-details/3S7ZbPUnoiEyMpvSjVMZZKgZZoDxiQNhhGoc6wYyKokK,Solid Purple,Heart,Black,Halo,Portrait,None
383,1.1,1270,53.8,https://solanart.io/search/?token=9DHr2DFvagPY3Hn91Yg2dkqw4Xhn1QvwDF1fX8qT2xvY,Solid Blue,Lantern,Brown,Beret,Standard,None
401,0.45,1261,60.57,https://solanart.io/search/?token=D1spZ6HMAoQMzpBAuhc9ZdoCtQY4gTefhk2t6DEvDHXk,Split Black Yellow,Smiley,Black,Rice,Demon,None
417,2.26969,813,55.78,https://magiceden.io/item-details/EQa3mWPc88VwVVoRUxZ8Rq6ZESgdf5NJZ93fmXv2qeE9,Space,None,Red,Headband,Demon,None
418,0.3,772,76.7,https://magiceden.io/item-details/75jCSBbPk6twYSxPegiiEKq6DedfVTVAmLTXc7KeUq1b,Scorched Turquoise,Lantern,Black,Priest,Demon,None
419,4,74,60.59,https://magiceden.io/item-details/BgDNZrCV6Cfzpyss6oMywpbL9zFjuxV7pGqL5nv3HEZ9,Solid Green,Wings,None,Horns,Hooded,None
432,0.47,1166,63.22,https://solanart.io/search/?token=3vdQvtK4NXW6gQEowJar979VUQoPawVd7meWEFC67UUo,Solid Green,Rice Ball,Black,Goggles,Standard,None
435,1.89,1329,44.14,https://magiceden.io/item-details/96HCTeAdTwjnx8ePkm6dEKE1zRUmF1seUDkSWMhndRAR,Solid Orange,Cross,Blue,None,Long,None
437,1.98,839,57.9,https://solanart.io/search/?token=HffXtCs9JzdqnVVSrXrKrZewKLpKL1GgXNQMeCdiTRYe,Solid Orange,Tea Light,Yellow,None,Long,None
445,4.2,946,32.5,https://magiceden.io/item-details/CpTw2GotGR4mZnC7EaimKojtcNuysDWNtaq4z2obP8jJ,Money,Candle,Grey,Beret,Hooded,None
448,8.83,1294,0,https://magiceden.io/item-details/PE3KZHe7zyhWV25F5rj5zZZe8oGCYPwmNrHTrA4a7Sp,Solid Blue,Spade,Blue,Bowler,Hooded,None
452,2,584,65.33,https://magiceden.io/item-details/2dj81yBogBhPRo7FzorBUy89AJpQ9rUALC6qUpgHaRsX,Wave Orange,Wings,Blue,None,Hooded,None
456,0.46,1250,60.8,https://solanart.io/search/?token=7rXixbSbyVkNdR53GuFVxioZQ7htZBefD5PtbLGdfwQR,Solid Dark Blue,Spade,Grey,Sombrero,Standard,None
463,0.8,5,94.65,https://magiceden.io/item-details/7iEFytggKdkC5zD4fWLsMPjdkW6XTcLCyZFy3sdaH3zT,Wave Red,Skull Blue,Purple,Priest,Hooded,Mask
466,1.6,352,76.27,https://magiceden.io/item-details/A662XA6bnX6rn4sgty3oLneAEC5kziW3tVJHFfX3HpkS,Solid Purple,Yin Yang,Red,Crown,Hooded,None
475,3.2,1010,40.58,https://magiceden.io/item-details/EKLX7trRDyMvxFn1MfGy6DmN9MMwQw6cxKq4o4i3Yw7p,Solid Grey,Hourglass,Green,Headband,Portrait,None
486,2.69,1126,42.21,https://magiceden.io/item-details/A81qkYVbfQS7HxkhDJtEJsJaDKyptXJ88bVjfRVFBisE,Scorched Blue White,None,Black,Winter,Long,None
488,23,787,0,https://solanart.io/search/?token=4m8wJqa4CxKML7evQd7htnzNo33ohYBjLv8dqnBDmAyb,Wave Purple,Hourglass,Blue,Goggles,Hooded,None
490,3,86,70.23,https://magiceden.io/item-details/EC5gh2WGuDRbp222KQCswygrabWg7pvupEKpnAJRFj8w,Wave Blue,Rice Ball,Red,Explorer,Long,Smile
495,3.3,444,56.52,https://magiceden.io/item-details/8FuMhpYzZYYzyYJUMfTwDLrKgD3Unrw1uqDU4fo9g7V3,Solid Black,Smiley,Brown,Bowler,Standard,Cigar
504,0.69,1036,64.91,https://magiceden.io/item-details/CZ3DxiFfpsL9sEcZ99ey6JmhFgzSkN4cmBfqs4jj6nX7,Solid Grey,Watch,Yellow,None,Long,None
505,0.3,1120,66.29,https://magiceden.io/item-details/GVpbppoAsSWDFfgUE8T3NzPjagLEcfL2D9xkje76LNjE,Solid Grey,Smiley,Orange,Beret,Demon,None
507,3.5,1043,36.6,https://magiceden.io/item-details/4yYW3PWUniMnyTxtBtLkMNqhHRpEJ6boxBwK7TPerhPy,Scorched Grey,Bow Tie,Blue,Beret,Long,None
509,0.69,224,89.2,https://magiceden.io/item-details/EeRsqN5RR8LnrJxupNxaQRXXWbwn5T7f4NPm52tYnvXc,Split Black Yellow,Pharaoh,Pink,Horns,Portrait,None
511,3.3,247,62.41,https://solanart.io/search/?token=8psDQmnNtTg3kxoDhroxbgz7qWUubCDtZM2R81DTYkEs,Green Screen,Gravestone,Green,Priest,Hooded,None
523,6,911,15.54,https://magiceden.io/item-details/6aR8Jh4JZofuvSdsbp58LN8U5fqBmMHrJ5MW3JbDKKPV,Chess,Rook,Blue,None,Hooded,None
524,25,358,0,https://solanart.io/search/?token=55zTvDzjmDPZJWoHpxgqu49UNki76swnTqfuc9i6DPmx,Moon Black,Spade,Turquoise,Tiara,Portrait,None
525,1,1062,61.03,https://magiceden.io/item-details/BuHApTqtmcmumMUoXMoEuYf8Xax5C4f5FgJeb4VmR7WL,Pattern Red,Hourglass,Grey,Sombrero,Portrait,None
534,3.5,625,49.1,https://magiceden.io/item-details/4d462GSBJXSjHxhkC3kYetrpLxC1JptKzYL7o7xRDqV2,Solid Purple,Bow Tie,Green,Tiara,Demon,None
547,3,223,66.13,https://magiceden.io/item-details/EQSN63qrffANSeRmzwHgkTazbbskEJatYU84hsxHxQYJ,Solid Grey,Money,Blue,Sombrero,Demon,Cigar
553,2,530,66.94,https://magiceden.io/item-details/8ZWWDNMXuf3G8eXDn5ucoFheKy3HyEXbenJbW4k443q1,Wave Pink,Diamond,Black,Sombrero,Portrait,None
555,7.4,1116,0,https://magiceden.io/item-details/Gy7g3ryYS8iazg1QkgQ77diB5KpUhjDx21CKxVtcVQr5,Solid Orange,Spade,Brown,Monkey,Portrait,None
560,9,279,4.45,https://magiceden.io/item-details/GxGKUzCaH3yWnu7xf1JZXvwHTSpfYAm8GDz2GsrJv6Qw,Mountain,Skull Blue,Green,Sombrero,Standard,None
564,2,116,79.33,https://magiceden.io/item-details/DdJvQogYmMBk1LJwLcwKVzeb4khmnySp29PiNESdXM42,Graveyard Blue,Yin Yang,Brown,Explorer,Demon,Smile
571,0.55,108,94.07,https://magiceden.io/item-details/3N7ULXJs84ynyrG3SYqjKZSBtBVjxMeT4Bzm7qwfuSar,Wave Pink,Yin Yang,Blue,Sombrero,Hooded,Smirk
572,5,1205,16.75,https://magiceden.io/item-details/CJZU7f3UqpnmdKFseRphX2t7SbacujAaSKYWFoxxjXzB,Split Black Yellow,Smiley,Dark Green,Rice,Hooded,None
582,3.6,433,53.85,https://magiceden.io/item-details/GXFkfPxwx17apeuCGVaa8u9GHS3aaz2tnbDMEhVparLj,Pattern Blue,Button,Pink,Headband,Standard,None
583,2,1059,51.12,https://magiceden.io/item-details/BVG1ECVmdeXJKftMbWH5GWMqzxzWfhPnYszCJPQM4Hvu,Solid Orange,Button,Brown,Horns,Long,None
586,0.8,617,76.34,https://solanart.io/search/?token=AWoHboJLPZMgXoDM14thjeyfDVmR5j8Tb6aoP4L9YJ7X,Wave Solana,Bow Tie,Red,Goggles,Long,None
597,1.6,1271,48.77,https://solanart.io/search/?token=E6sEf7dE4bUzSQXLjUa4PFieBAVjbwsAqtFyUDBStnpo,Solid Green,Stethoscope,Grey,Headband,Portrait,None
603,1.5,644,68.53,https://solanart.io/search/?token=226cqCyxJsh2754QfMdPdhwvPUnD18iLEGThi7vU8k1y,Pattern Red,Watch,Light Red,Beret,Long,None
605,1.3,153,85.22,https://magiceden.io/item-details/2ZQ6ADvXiifiibjCQdwuuX6hLX8BB1E189bba2Yjm3kd,Green Screen,Headphones,Orange,Halo,Long,None
610,4.4,836,33.79,https://magiceden.io/item-details/74L7RKaMfP9QHjexPquEryFLxqCgH6jViRfu3gVWRwPz,Brick,Bow Tie,Grey,Winter,Standard,None
614,5,1011,22.55,https://magiceden.io/item-details/7NsyPvJbtfazBWr5H6pz5jTXEGye3LQmBcfEdgAz2GFr,Scorched Blue White,Smiley,Brown,Sombrero,Standard,None
618,0.38,739,76.89,https://magiceden.io/item-details/5os9rEHDr9Eud4cdW1YQWW2FqNUDRwj23U8q7v9cjxmw,Money,Watch,Turquoise,None,Standard,None
624,2,996,53,https://magiceden.io/item-details/AcDfyo982iu8RYjECRRtPruDEEhos6yA951o1XA5KciX,Wave Brown,Watch,Brown,Beret,Demon,None
628,0.5,853,72.28,https://magiceden.io/item-details/6X7KZ8V5oChmhQyU3H14yS42pRCFMiVnamsa2Ww7tU3a,Mountain,Smiley,Black,Winter,Long,None
629,5.85,760,21.56,https://magiceden.io/item-details/5VMwn2A3VXaDtrhi19L3oo2JCdq19uTJ1tVo59wwZxC,Wave Orange Black,Rook,Blue,Monkey,Standard,None
630,1.75,37,84.19,https://magiceden.io/item-details/4SubKExL456NCC97RTnA5J1hwgjtgJgg4ps8kdAU3XAo,Wave Turquoise,Watch,Light Red,Halo,Standard,Smirk
640,0.68,1029,65.21,https://solanart.io/search/?token=JAL68a7j4vEEmKSEpqzZQurEKm2ftHf8CXAMWTrD5uVN,Scorched Blue White,Alien,Dark Green,Beret,Portrait,None
654,0.28,1319,60.54,https://magiceden.io/item-details/6gmU61ZZCaEJYUr3vF4C2f6JQFhiTkQ4tqnS77NNyZf7,Solid Dark Blue,Bow Tie,Black,None,Portrait,None
655,3,508,57.6,https://magiceden.io/item-details/CX9fcWENUgguyD9p4ZB1eeQtwCorw1ZT7mxuhQNWbE23,Green Screen,Flame,Grey,Bowler,Demon,None
657,0.7,1195,60.05,https://magiceden.io/item-details/3bPH8hKfoY11B5npc5tyRKyQk97fiZz7kMwoUpyS43u5,Solid Orange,Rook,Grey,Goggles,Long,None
659,0.37,549,82.68,https://magiceden.io/item-details/GEmek4wYyktp2aoCxwW22ggY7veaRCfoBGzfFFPAvm5S,Solid Turquoise,Spade,Brown,Beret,Demon,Smirk
662,3,988,43.24,https://magiceden.io/item-details/4jbxdXDrVmfo5sfTT2i2mr3LGogtVVQ77cTGa31kSDrf,Scorched Blue White,Alien,Grey,Goggles,Long,None
663,4.12,785,38.11,https://solanart.io/search/?token=ARrRaidYr9QjVqKkBYBgmHVTUoV3ZRyKfsDzBJRd3oMd,No Entry,Hourglass,Black,Headband,Standard,None
671,0.9,935,65.83,https://magiceden.io/item-details/5UZxGhYLcacULvTqWjthq1wEj6GYs7mg41ztCbeNd8rd,Money,Candle,Grey,Bowler,Portrait,None
678,1,867,66.86,https://magiceden.io/item-details/GLBw3e3xnrkZvkJLNR9wMAQbEZbExLoRWE1PEQHWT4wE,Solid Orange,Flame,Dark Green,Sombrero,Standard,None
691,8.5,12,17.44,https://magiceden.io/item-details/F4nmw5N4CQNRbaj9XNaVLxNcQgR3dcV96ue6ZBrx3g7N,Lines,Diamond,Light Red,Headpiece,Long,Smile
701,3.69,252,58.36,https://magiceden.io/item-details/EQmcudrug9tsdVJ8ppEobrmDZnjofGZw3fyk6HcSKoF7,Desert,Button,Blue,Rice,Standard,Smirk
703,9.69,8,5.66,https://magiceden.io/item-details/H6U7V1N8h8cygN1stHLEfh7JRcGPymhd7CgoLUXbdNC1,Desert,Rice Ball,Closed,Rice,Portrait,Smirk
705,2.3,1320,40.31,https://solanart.io/search/?token=Ff1vLJAmkbUHnQrU1ZRdQP8GepQR9axY9rvJR39AgC62,Solid Orange,Bow Tie,Blue,None,Hooded,None
707,0.75,460,81.54,https://magiceden.io/item-details/2hgNQ6mG7aSXzZH1KitE3dAtAvnpLSki9f6fT9Y3ovuC,Money,Yin Yang,Yellow,Winter,Hooded,None
711,25,250,0,https://solanart.io/search/?token=Ep8XwW13rZdTC6sr9uEtdkvwMQ7KYGmRK14TkNDSbKcu,Money,Vase,Yellow,Sombrero,Portrait,None
714,1,1081,60.46,https://magiceden.io/item-details/Euskgha3oG8vpj99BGmJJUBviHv6D6rTzSs6BdUg1nhH,Solid Black,Bow Tie,Dark Green,Headpiece,Demon,None
715,0.69,889,69.3,https://magiceden.io/item-details/AGmjQcRqk6coFJxa8M87QQu9tr3bNEwdEuXB4eNG7ikH,Solid Pink,Candle,Green,Cap,Demon,None
723,10,541,0,https://magiceden.io/item-details/J3Z52uUDngF6sVkT1aiiGuEZbqRw5xckNxueTxKsUJbb,Wave Blue,None,Grey,Egyptian,Portrait,None
724,3,332,62.87,https://magiceden.io/item-details/aXe6enGfG3wx6iMGtQWxwes9S5uW5ugTKC5izjtyuWY,Wave Orange Black,Spade,Grey,Goggles,Hooded,Smile
728,1,112,89.45,https://magiceden.io/item-details/Gfidfywkm9GqbJrVaWR9To3adc2fggxXkZxnf1ChfofA,Money,Smiley,Black,Priestess,Long,Cigar
743,0.4,641,79.62,https://magiceden.io/item-details/9k4Yh8r6ecy1ScLyXLjXdGeqenAvsZRo93E7qSm9CDRq,Wave Grey,Heart,Black,Tiara,Portrait,None
746,2.2022,307,71.59,https://magiceden.io/item-details/7vRVFWxrDWvzguL7vH7gK3TxdJ7MmbzQfMu4p7hRgnrS,Solid Black,Flower,Purple,Explorer,Long,None
752,2.8,1013,44.49,https://magiceden.io/item-details/6pB5fU3PrFH54g6juMbkW1hXcqbfnMVoxAtquu9SL6ce,Scorched Turquoise,Alien,Blue,Headband,Portrait,None
754,1.99,84,80.39,https://magiceden.io/item-details/Fy7Ezozfk9UifRdqCQAxq3Zz33p1FQ5XHY3UEF7S3MPz,Solid Pink,Devil Tail,Closed,Winter,Portrait,None
764,0.69,320,86.33,https://magiceden.io/item-details/GstaFMVpXttRxSWsvK91AXxLPSHmPNcARwoUQnRgvF3V,Scorched Turquoise,Wings,Grey,Priestess,Portrait,None
765,9.9,364,0,https://magiceden.io/item-details/HY6fVwX9b7ro8beGuMqR4ocdRdsTR68P7qWZ32Ps5K7F,Solid Dark Blue,None,Purple,Egyptian,Portrait,None
784,0.51,466,83.76,https://solanart.io/search/?token=5FAGgB9BpofJqq21E6tw5Y1KUDxxFr6ou7ufmAzT6LgT,Solid Grey,Yin Yang,Blue,Beret,Long,Cigar
785,1.7,134,81.79,https://magiceden.io/item-details/BTsGVrgyMVn9nWAHiFUMV6p3idHRHCDq4VTvC21uJtqy,Mountain,Candle,Black,Priest,Portrait,Cigar
786,4.69,90,53.21,https://magiceden.io/item-details/9tD8pq7KrM4e1sNTJyXKBSYr1tK9mtVRkT8651kM6K4a,Split Black Yellow,Wand,Blue,Monkey,Standard,Smirk
789,9,1122,0,https://solanart.io/search/?token=DTyrnnYVckwDMupr34gCsh9AMx7VuoDCLELngsWyXGYK,Solid Blue,Gravestone,Dark Green,None,Hooded,None
795,3.69,67,63.9,https://magiceden.io/item-details/FPRAjpzJ5RwEdwRE2sLRKDpF42wbN4T4JtFgLTmaUpBa,Brick,Cross,Red,Bowler,Hooded,Mask
804,0.9,731,71.93,https://solanart.io/search/?token=5Kjj7PwEfKZxJG9AvDfSQumFnvQzmeAVK9uymucEyxZ5,Wave Blue,Talisman,Black,None,Portrait,None
806,2.33,1325,39.86,https://magiceden.io/item-details/7xjQsm79zJAKZvdeRZkUAL61E5adF5pTLdTDBfUqAFM7,Solid Turquoise,None,Dark Green,Bowler,Standard,None
