id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothes,Eyes,Eyewear,Face Accessory,Headwear,Mouth
120,0.8,1742,75.78,https://magiceden.io/item-details/BVU81o3NM49AvzurRcFWmuhYHMqbMo1h3QrYrkeWh9Kv,Blue,Gold,Punky Ninja Pink,Pink Angry,Laser Luminous Red,None,Brown Wavy Bun,Happy
121,20,1036,0,https://magiceden.io/item-details/HrB2xHhYF4ieTEt6J5n7x77AtNBCJEQjDkopD86TZH6y,Gradient Black,Fire,Pink Guardians,Normal Red,None,None,Black Horns,Rainbow Sheesh
159,0.47,3289,60.49,https://magiceden.io/item-details/2vE9gvxskshdSDDcvXXzSqvrEXzusKjhxqPqt8njRNfA,Purple,Black,Punky Ninja Pink,Blue Normal,None,None,None,Punky
179,2.3,593,74.58,https://magiceden.io/item-details/AycH7PzSQVWJ6LmgjMbFNbfRKK2tQv97aYrr5SBsLrCK,Pink,Bolt Green,Punky Ninja Blue,Sleepy,None,Silver MetaMask,Black Wavy Bun,Punky
180,18,2904,0,https://magiceden.io/item-details/FGSBut9D2YnNuJVRqPd7vd9F9WhUG4CSE3ABigCAtJ5R,Orange,Gold,Black PAC Cop,Normal Red,None,None,Black Bun,Laughing Rainbow
184,1.5,715,81.11,https://magiceden.io/item-details/FyFBSDUoeow82McQTwKaxXbjwpHfVggUX8mGmcCmBgSb,Purple,Metallic Blue,None,Odd Eye Raised,None,None,Cyan Headband,Teasing
193,1.5,742,80.79,https://magiceden.io/item-details/4KMajLbfzA3dTNJ1Yfzfc1R4sSAVu7Mb88vt6XCutMf7,Purple,Purple,Purple Suit,Laser Pink Angry,None,Cyan MetaMask,Pink PAC Headband,Teasing
210,300,15,0,https://magiceden.io/item-details/DqW8bFXUVtbpjHQVFuiC19tdq2qnPxEJGJ17nRhpzmW6,Green Shades,Solana,Grey PAC Cop,Blue Normal,Laser Luminous Black,Orange Hazmat,Cyan Headband,Sheesh
220,4.9,897,44.93,https://solanart.io/search/?token=5FUunCjhgWxg5wU6e9N23KgwPA2mU5kVFPRb85t8cfGA,Orange Shades,Grey,Black Samurai,Blue Raised,Punky Green,None,Cyan Horns,Normal
223,35,2854,0,https://solanart.io/search/?token=6UrwKVFBmyVCdXgqTHFRLKbxH6u17XmBGDmAqsiuW2id,Green,Gold,Cyan AKN,Red Raised,None,None,Punky Green,Punky
224,0.9,1325,79.78,https://magiceden.io/item-details/B2nSsbbhP1H9xhyimWwxTmYgoM6CafaXxfWRk6TrZB2C,Gradient Pink,Black,Punky Ninja Pink,Pink Normal,Scanners Green,None,Black Headband,Teasing
231,1.2,485,86.87,https://magiceden.io/item-details/4tuKyCPPDtEcmosPPs3nwyv1kVU3C8ihont9S8ybydjw,Orange,Purple,Purple Samurai,Black Raised,Robotic Orange,Cyan MetaMask,Blue Tron,Sheesh
232,4.25,2983,26.37,https://solanart.io/search/?token=9ovBoUnYfdwwRyBrZShJ3J18qRHSmqu4N5NwQtbyGZKp,Blue,Gold,Punky Ninja Blue,Black Angry,None,None,Black Samurai,Sheesh
242,1.3,3142,53.96,https://magiceden.io/item-details/5vf9MAQeoLcw4WZfoQ6c2Tap4vqrHocohtBHfQfu7GYT,Green Shades,Black,Black PAC Cop,Normal Red,None,None,None,Sheesh
252,1,968,83.07,https://magiceden.io/item-details/7QU47jLN7zpxMQ5JnKQmSRG1gzFZQqA2EEc1mTbQL3cA,Blue,Purple,Green Suit,Normal Red,Rainbow Laser,None,Black Horns,Sheesh
258,2,145,82.96,https://solanart.io/search/?token=8SM3mtPttq6A7JfHFnqawPFwqNgBJ5nzMxg2dQF4DBqy,Grey Shades,Fire,Cyan Guardians,Black Raised,Punky Blue,None,Pink Horns,Happy
264,1.5,1119,76.26,https://magiceden.io/item-details/CM9hGju2Azmn9cwXTZkMsTVVEkrxuv8ZYqqEW5aUxcto,Purple,Black,Punky Ninja Blue,Angry Red,Robotic Blue,Silver MetaMask,Cyan Samurai,Punky
265,0.65,1007,86.1,https://solanart.io/search/?token=2zkcB9KNiXvF3gYGY33j2zQEppUvGVzc6eZ6NuNaXbJb,Gradient Purple Green,Purple,Black AKN,Odd Eye Angry,Pink Laser,None,Purple Headband,Normal
284,1.5,3219,51.03,https://solanart.io/search/?token=FUwfbsDi3bsCFCGB9xgizAnawt8GNsAGH3PCqBFzjxhi,Orange,Purple,Black Samurai,Black Raised,None,None,None,Angry
285,0.85,2559,65.46,https://magiceden.io/item-details/2jbaqsoiKUrEdRay7ZQYYDoWubFoyCa87syEhsYtEVMG,Pink Wave v2,Purple,Black Samurai,Black Raised,None,None,Black Wavy Bun,Normal
289,1.3,887,81.05,https://magiceden.io/item-details/Gcx5ZEWF9NSZHpyBRtyyw5fGPFKqHJkfY45LE7pPY69H,Gradient Blue,Metallic Blue,Purple Suit,Odd Eye Raised,None,None,Cyan Horns,Angry
290,2.4,2247,53.71,https://magiceden.io/item-details/2HuUf3CNd6wr1vzQykdptsETDbeH8sJSro6YuAPKSR1k,Gradient Pink,Purple,Black Samurai,Red Raised,Nightvision Green,None,None,Happy
296,2,2038,60.22,https://magiceden.io/item-details/7AEPpnJwvKtXiLNR9NMTGYvDxwtAXoDnuSqPiegA7P2f,Green Shades,Purple,Pink Guardians,Laser Pink Angry,None,None,Purple Headband,Teasing
310,1.5,2290,62.19,https://magiceden.io/item-details/2SFviFnMwMSX7qAQv2pDKrYCEvX9AYWBwHWYor22pmGd,Gradient Pink,Gold,Punky Ninja Pink,Normal Red,None,Purple RT500,Cyan PAC Headband,Happy
318,1.45,1228,75.45,https://solanart.io/search/?token=8qkGFbszXEasarujzQrDTeXoKzgwfRmmVRiHfrRb13BT,Grey Shades,Gold,Cyan Samurai,Normal Red,Punky Pink,None,Black Headband,Normal
330,0.9,1872,73.21,https://solanart.io/search/?token=H9aa513enHQrcDkWEge9xtiihAnCrsFM92QiVR7XbUEH,Blue,Grey,Punky Ninja Blue,Black Angry,None,Yellow RT500,Punky Pink,Angry
344,1,1103,81.45,https://magiceden.io/item-details/5ZF7vxxhAwvDmaJnMk3UBW8U12MxjXkqybN9GjwKpFzx,Grey Shades,Brown,Punky Ninja Blue,Black Raised,Laser Luminous Red,None,Pink Horns,Punky Rainbow
346,0.6,2073,73.8,https://magiceden.io/item-details/EQicigzL6w6ibGf8kPNqNKd8B2vhbJTypyxufe5tMEd4,Orange Shades,Gold,Grey PAC Cop,Angry Red,None,None,Black Samurai,Rainbow Sheesh
378,35.349998,2799,0,https://solanart.io/search/?token=FGWqUvptHSyB7uBKDbG9QdArUwvEUfgUdkpPR34554Zt,Gradient Pink,Gold,Pink Guardians,Black Angry,None,None,Cyan PAC Headband,Teasing
380,0.56,3227,60.34,https://solanart.io/search/?token=9QLupn4L6cZcZgcCfqCr5uBWKMx3EwggctBNZSR9xVWX,Gradient Black,Purple,Black PAC Cop,Red Raised,None,None,Brown Bun,Normal
381,4.2069,29,62.28,https://magiceden.io/item-details/6fXBui5oDM44X4pqENnojEg4UDBATzwMAKSUdyw1nKsx,Blue Punk City,Black,Cyan Samurai,Pink Normal,Laser Luminous Blue,Cyan MetaMask,Purple Samurai,Normal
388,0.59,2961,63.23,https://magiceden.io/item-details/529DL5FF2VGdGo541XJ7x9gd65n1jgdxXRDhXDsXpvAG,Purple,Black,Pink Guardians,Angry Red,None,None,Punky Green,Punky
408,100,34,0,https://solanart.io/search/?token=GKYbAa3Z8hZguvYUQhNKgNWymMNeLA8Pqy9wsHugxZvL,Pink,Brown,Green Suit,Black Angry,Thug Golden,Black Oni,Pink PAC Headband,Punky
411,3.6,1012,56.54,https://magiceden.io/item-details/HLcAt8X6vS8jCxf77b3WZihdkFKqFXAwQjuVDecMGMK4,Tricolor Punk City,Gold,Black AKN,Pink Normal,None,None,Brown Bun,Teasing
412,4.5,1404,42.84,https://magiceden.io/item-details/4An2MHUe9mtffHTyunmgzjmRDo4HpCn33DyAr78Q3vhe,Orange,Grey,Cyan AKN,Blue Raised,Scanners Green,None,Black Bun,Punky
416,50,2176,0,https://solanart.io/search/?token=BoN3Eb7UJmFdGVg4KepiHdR6gJLcPamawZU6oxHhLzB7,Blue,Grey,Cyan Samurai,Blue Raised,Scanners Pink,None,None,Normal
428,0.69,685,89.57,https://magiceden.io/item-details/HrZvmtwb5aFTtG7BcE1RGBcsG118yPzJ3fvb2Xa9nxFE,Purple,Bolt Green,Punky Ninja Pink,Blue Raised,None,Cyan MetaMask,Black Samurai,Sheesh
431,2,2508,54.57,https://magiceden.io/item-details/E3H6rW2fQ8qXwi5fFb3NXyYoJXak8f9ZL2gPJiPj4t2m,Gradient Purple Green,Purple,Cyan Samurai,Normal Red,None,None,Punky Pink,Rainbow Sheesh
438,0.7,1832,75.69,https://solanart.io/search/?token=B9EziJgwk2Vh4Ai8yxTFXWpYGjoRJLeo25YdYQWUKka1,Gradient Pink,Gold,Black PAC Cop,Angry Red,Cyclops Blue,None,Purple Samurai,Normal
451,0.6,1240,83.81,https://magiceden.io/item-details/7z8z5La74pRJKsQ8gDnh54FUdLi2pxM62gY6Xm1SQxeK,Pink,Gold,Cyan AKN,Black Raised,Scanners Pink,None,Purple Samurai,Happy
453,3.2,87,71.65,https://magiceden.io/item-details/AKeDZNB6myxCHgW5F3XrH38MrjpyJu6DVBYz6Yd5Mo9C,Green,Black,Black AKN,Angry Red,Glitched,Cyan RT500,Black Samurai,Rainbow Sheesh
456,5,121,53.25,https://magiceden.io/item-details/EXybdRNz7DdxpGa7Cte23xayDs1d9ZzFz5SoEY3JeLS7,Tricolor Punk City,Black,Purple Samurai,Angry Red,Pink Laser,Black MetaMask,Punky Green,Normal
473,0.8,2076,71.76,https://magiceden.io/item-details/7BCNy8uAXjo7kxY1rd3rtLtkDH38tABn2A6JyPNwbuu8,Orange,Metallic Gold,Punky Ninja Pink,Angry Red,Laser Luminous Blue,None,None,Angry
484,0.6,3287,59.22,https://solanart.io/search/?token=2NK2A4DPhnn7Xh9hYayQ8qP1CdYNR9qngMjKxmm8khFY,Gradient Black,Black,Punky Ninja Pink,Normal Red,None,None,Black Wavy Bun,Angry
514,0.66,2989,62.2,https://magiceden.io/item-details/J9JUEtugpBBvHnQVRqJZ2nWiooSsQD1BTDHJKCihH7xd,Orange,Black,Grey PAC Cop,Black Normal,None,None,Pink PAC Headband,Happy
515,1,2384,66.06,https://magiceden.io/item-details/GBFSJpFRkDPfB4R6Yv7CkddTjYduGUCDgAyGFAiShXHr,Gradient Purple Green,Grey,Purple Suit,Red Raised,None,None,Pink PAC Headband,Happy
528,1.5,434,84.49,https://magiceden.io/item-details/HHDELkKKnPpTH9AxywwYZPfzYdoy1MbLt9gd8GHnV8NK,Purple,Purple,Purple Samurai,Fire Red,Cyclops Pink,Cyan MetaMask,Brown Bun,Normal
533,1.5,1979,65.93,https://magiceden.io/item-details/CNY2gEtfXnRT5baws3qNPwk1wGF2jH8bQ6fHFS2tF9Gf,Gradient Black,Brown,Black Suit,Blue Normal,None,None,None,Punky Rainbow
534,1.5,881,79.12,https://magiceden.io/item-details/BcKDQEo9Ji2zaAoucoFJBmN9CnDKwEPoas9uPbBqCzqb,Green Shades,Purple,Jungle Savior,Red Raised,None,Orange Hazmat,Black Samurai,Normal
549,3.3,3166,33.67,https://magiceden.io/item-details/9E5ca9JHCAbyLCZAPq5ojfACndyjtDh1RCDpfPVcz25M,Green Shades,Gold,Punky Ninja Blue,Normal Red,None,None,Brown Wavy Bun,Teasing
557,0.75,2548,66.59,https://magiceden.io/item-details/4ng6LZKXDrCidEtz9TuJfx6giwcajUzD3YpHRwVi8oJP,Orange,Gold,Punky Ninja Pink,Black Normal,None,Black MetaMask,Black Bun,Angry
584,4,504,58.65,https://alpha.art/t/EjhjXRzhckq9yfr3x7hKbmfAd6kWBWesiC5NyKMoVVs4,Green Shades,Gold,Cyan Guardians,Odd Eye Normal,Cyclops Blue,None,Green Chef,Happy
595,2,643,76.98,https://magiceden.io/item-details/G9npDGi6pSVsr5nxS7TEg2nR8yczibAG1QKEvnnLY72B,Pink,Metallic Pink,Punky Ninja Blue,Pink Angry,Robotic Blue,None,Green Chef,Happy
604,2.1,70,82.86,https://magiceden.io/item-details/ACobRu5CfByNTrtATXUhPJtqe8cWq6RSXEPufGyNCpeo,Purple,Black,City Savior,Pink Normal,Scanners Green,Purple Hazmat,Blue Tron,Normal
634,1250,1916,0,https://solanart.io/search/?token=5xjt4RkeaUwenuVtbNDPtmr33ub7VAspdeqYmDLds7MR,Blue,Purple,Black PAC Cop,Red Raised,Laser Luminous Black,None,Pink PAC Headband,Happy
640,0.75,2958,61.67,https://solanart.io/search/?token=Ge3Xc5nVqZDEzSpoRtBDeQxWeYWtngCQpaukao9kDqiY,Green,Gold,Cyan Samurai,Black Angry,None,None,Cyan PAC Headband,Punky
642,0.67,1921,74.92,https://magiceden.io/item-details/Fimm3QX34aJVA1kdn9sAU8xnRxPAaLBSyHqKDoAiXZaH,Gradient Black,Brown,Punky Ninja Blue,Odd Eye Raised,None,Purple Indicator,None,Angry
643,1.8,645,78.95,https://solanart.io/search/?token=FJECxwPUeLTPCWvDuXY1pg2wEMwDo8AYfLxfAuyW2PqX,Green,Purple,Black AKN,Odd Eye Normal,Laser Luminous Blue,None,Black Horns,Punky Rainbow
668,0.69,1601,78.57,https://magiceden.io/item-details/3bc4zVjkb11FiBAouPLVUzBRAzSLxPEz7Fg8tTEp2nPW,Pink,Brown,Punky Ninja Pink,Pink Raised,Rainbow Laser,None,Black Wavy Bun,Teasing
671,0.99,2456,65.3,https://solanart.io/search/?token=6dy6fc4gyHi6HUijjwFKRhsma3rLyNputNk3hRbczVqJ,Blue,Metallic Pink,Black PAC Cop,Black Normal,None,None,Pink Horns,Angry
675,1.95,1996,61.22,https://magiceden.io/item-details/5WxVBvgvGnQ796rYcdGsr1D8Kf1NxeWbBR2nWiX7ecQJ,Gradient Blue,Metallic Blue,Pink Guardians,Black Angry,None,None,Punky Green,Angry
688,20,45,0,https://magiceden.io/item-details/C24t2orzQC2BX7tha7M1py92qD7q385V7zuabgpQ3BQY,Green,Fire,Punky Ninja Blue,Black Raised,Cyclops Red,Yellow RT500,Cyan Horns,Punky Rainbow
692,8.5,3019,0,https://solanart.io/search/?token=ETBigt3Q4vjD7bcAqpniHEj5GGh13YHRZ2gsdgHagck6,Green,Black,Punky Ninja Pink,Pink Normal,None,None,Green Horns,Normal
699,1.09,961,82.26,https://magiceden.io/item-details/GkZmykFb4i5C7VgoiS525aJjXNa1YQT15fs4gikrUvGi,Orange Shades,Brown,Punky Ninja Pink,Black Normal,Laser Luminous Black,Cyan MetaMask,None,Sheesh
705,2,1433,67.49,https://alpha.art/t/5AbxEHVj25zT9YM47ANWykfgLkDBJG457bZt2vnqpjTY,Green,Purple,Grey PAC Cop,Blue Raised,Cyclops Red,None,Punky Green,Sheesh
710,71,818,0,https://magiceden.io/item-details/Cce23stseRbBxqxWvWzpZCwXAWWYcBWaMbVnPvUitV7v,Purple,Grey,Green Suit,Angry Red,Punky Green,None,Brown Wavy Bun,Happy
715,1,1740,73.8,https://alpha.art/t/13raArAgHMnPYGhHiFaHWJpJRCJDvaqbXW1an7LUmXxB,Orange,Brown,Punky Ninja Blue,Black Raised,None,Green Hazmat,Green Horns,Angry
726,0.99,1233,79.99,https://magiceden.io/item-details/CnoHyS2gFdxD45Hh3JtTJjA59DwgnZXoC3zLckaTuwBC,Gradient Purple Green,Metallic Gold,Black AKN,Normal Red,None,Cyan MetaMask,Cyan Horns,Angry
735,9.95,2233,0,https://magiceden.io/item-details/Auy84pe6MpUz5DjTo7q3Uq9bZnMfUavPogQwV8K92z4L,Gradient Blue,Brown,Black Suit,Normal Red,None,None,Punky Pink,Sheesh
736,3.5,2265,42.49,https://solanart.io/search/?token=zoWWMMuDHAfHbbPJ8rkfdkk9dwNGDY9pecFCWFQq1CR,Green,Purple,Cyan Samurai,White Possessed Angry,None,None,Black Bun,Normal
757,1.5,2200,63.27,https://magiceden.io/item-details/9yiHvJY7GGbbZM8ZiRXpTA1Xj4v3zF4JMn3cTKR4oQr5,Green,Gold,Cyan Samurai,Angry Red,None,Green Indicator,None,Angry
785,9,2059,0,https://solanart.io/search/?token=B3zPWwkMi6B59FcPpy4XNNW3tLJTybyLGRdPH1JL5qdM,Purple,Purple,Pink Guardians,Normal Red,Robotic Blue,None,Punky Cyan,Teasing
788,1,2984,58.86,https://solanart.io/search/?token=7QjRimnYv1xnAAGztiPFkCuZWZnRGv4Suc2qeCwmNujW,Purple,Purple,Black Samurai,Black Normal,None,None,Punky Green,Teasing
789,2,508,78.6,https://magiceden.io/item-details/3yn1FrwEqUwpQ49VSXbyo5kULbCZuqB7D3tQcCZn7pug,Gradient Blue,Bolt Green,Punky Ninja Pink,Odd Eye Normal,Neon Blue Laser,None,Brown Bun,Teasing
796,2.39,2921,45.71,https://magiceden.io/item-details/Hpk27AHTE9aJcU8jG7LGV1HFXJoxaybzCajdTqTTDDmn,Pink,Black,Punky Ninja Blue,Laser Pink Angry,None,None,Black Wavy Bun,Teasing
807,1,937,83.44,https://solanart.io/search/?token=CWr8pcRm626VJWyPcABK1bZZ9Ezzyio7pS82xPeeoiTY,Orange,Black,Cyan Samurai,Black Raised,None,Purple Hazmat,Pink Horns,Laughing Rainbow
818,2.6,1729,57.93,https://solanart.io/search/?token=Bm1JLoGvWVYr2AKYEztuUepfLD4fPiU3yPUBVf9qgH3Y,Pink Wave v2,Black,Purple Samurai,Laser Pink Raised,None,None,Green Horns,Teasing
839,2,1796,63.13,https://magiceden.io/item-details/9XKipeJraX7tBHZqNPGTXNm94RRH1NvLnXAt5RJjceTM,Blue,Black,Punky Ninja Blue,Red Raised,None,Purple RT500,Green Chef,Normal
876,1,776,85.38,https://magiceden.io/item-details/516Q1zsQbCJ92GWjgo66gRajochH2cuUBzdrPQgs3GkH,Gradient Blue,Metallic Gold,Punky Ninja Pink,Laser Pink Normal,Scanners Pink,None,Pink Horns,Punky
891,1.5,2268,62.46,https://magiceden.io/item-details/DUvygoVcSAmBAJvanpjigBEP3ei8J7BHehB8Lj6sTuHL,Purple,Gold,Punky Ninja Blue,Black Angry,Cyclops Red,None,Black Horns,Angry
895,1,2560,63.95,https://solanart.io/search/?token=DLWbRid7qKH31oTWGYLYm3AToHJkMu87FVLg7d9ufhY8,Gradient Blue,Black,Cyan Guardians,Pink Raised,None,None,Pink Horns,Happy
905,4,486,58.86,https://magiceden.io/item-details/6KKH9wfQy7B6UsxDhRsY1x1vrhEq4riBKmKnW1Rrx86,Green,Purple,Black Suit,Odd Eye Normal,None,Green Indicator,Black Bun,Sheesh
907,0.79,844,86.66,https://magiceden.io/item-details/8ytVdipoRyPf6B119YroRg2KwoQfAWznie1yb7YJfRKp,Gradient Purple Green,Grey,Black AKN,Angry Red,None,Cyan RT500,Grey Chef,Teasing
911,1.19,371,88.34,https://magiceden.io/item-details/HEiwZDuhK1R2zM83JvTLk1obnPGfpZ53MBzUubRefyak,Purple,Gold,Punky Ninja Blue,Red Raised,Rainbow,Purple MetaMask,Black Horns,Punky Rainbow
920,0.74,1324,81.4,https://solanart.io/search/?token=6gRFDPCvB8sSohQGCPumCczTdMWMzAr83rz2yTScuZxu,Purple,Brown,Punky Ninja Blue,Fire Red,Neon Blue Laser,None,Black Bun,Punky
923,1.2,1994,68.75,https://magiceden.io/item-details/EF2GgiQHnRTWRYonCMCxMLecbChsCcCKZPFxAAf2VRtC,Gradient Blue,Black,Purple AKN,Black Raised,None,Black MetaMask,Brown Wavy Bun,Normal
924,0.48,3276,60.55,https://magiceden.io/item-details/2fhXCEzaonGCY4cptDhXeYu3cfMutferRbRL2hP6GgGq,Orange,Brown,Punky Ninja Pink,Angry Red,None,None,Black Bun,Angry
940,0.6,1559,79.97,https://magiceden.io/item-details/J7JdVrtez8m4vqTRHYAkuLiYoRX6hDd4xGwzMCUAcEWW,Green,Gold,Punky Ninja Pink,Pink Raised,Uptownfunk,None,Black Bun,Normal
945,1.3,746,82.74,https://magiceden.io/item-details/DZ4xTsvrsiMqfuGSSUCoaAJzbEPAjH3HDBLDydmJXmC6,Pink,Black,Punky Ninja Pink,Black Normal,Cyclops Pink,Purple Hazmat,Black Wavy Bun,Angry
956,0.9,2427,66.55,https://magiceden.io/item-details/DB8yuhbth4enx1Maq8AyF2sfjCH94Rcs2LtuxyhpNLUB,Purple,Brown,Punky Ninja Blue,Black Normal,Robotic Blue,None,Black Headband,Happy
958,8.05,2572,0,https://solanart.io/search/?token=2DQ7GCrArMefpoqc71Uo11AfqPASarYfmsR4AmqhFkz9,Gradient Black,Purple,Punky Ninja Pink,Black Possessed Normal,None,None,None,Angry
971,4.1,1026,51.38,https://magiceden.io/item-details/9zMv1qXfWz7fUudNVvUpTwkfijPWddpEsVA9PcmiThoB,Gradient Pink,Brown,Black Samurai,Normal Red,Punky Green,None,Brown Bun,Laughing Rainbow
986,1.5,3137,52.02,https://magiceden.io/item-details/4Jtr83hu9MxNftQUPTguaGkEJAr89h7YmVce7rZsKsYs,Green,Gold,Punky Ninja Pink,Black Raised,None,None,Punky Cyan,Happy
993,1.5,639,82.02,https://magiceden.io/item-details/5pSQUoAZWwvmXDJLPh9iyDa5QzLeEWEWetXbEPG4xN1q,Gradient Purple Green,Black,Black Samurai,Angry Red,Cyclops Pink,Cyan RT500,Green Horns,Happy
996,2.75,1463,59.63,https://magiceden.io/item-details/7cz2Gv1FoEo4vrAf5w7gUqfzgUfCmfwmJHpzGJ5U2oup,Green Shades,Brown,Cyan AKN,Angry Red,None,None,Green Chef,Punky Rainbow
1039,1.49,226,87.09,https://magiceden.io/item-details/8dYELh3QnTp7gLxAhbQ4Bubc8Fe6gSoVGSmVKVrLVNrN,Green,Metallic Pink,Purple Samurai,Pink Normal,Robotic Purple,Cyan RT500,Brown Bun,Normal
1046,3,1670,54.64,https://magiceden.io/item-details/AFm1U4ouCjUzJUf4Zc1wANeuHUUDDFhz9ncgpQxa2BzP,Gradient Black,Grey,City Savior,White Possessed Raised,None,None,None,Punky
1051,1,2876,60.15,https://magiceden.io/item-details/A3azCMV9icgLFodrZw9WaPtvkzHrkkcYRahvbz4Tnwhy,Grey Shades,Grey,Black PAC Cop,Black Raised,None,None,Brown Bun,Happy
1070,1.49,415,84.82,https://magiceden.io/item-details/3uUwySz1RTymoMb7ew662QqZHhwNX3F8UAHvUJ9N3MtU,Gradient Purple Green,Brown,Black PAC Cop,Blue Normal,Laser Luminous Red,Purple MetaMask,Purple Headband,Teasing
1076,0.8,1177,82.56,https://magiceden.io/item-details/5BJTF1WvGXhRuUpU4hPNHoGaU9V4sj9mtPeQxrS6Dunr,Gradient Pink,Grey,Punky Ninja Blue,Laser Pink Normal,Laser Luminous Red,None,Purple Headband,Angry
1094,1.5,676,81.58,https://alpha.art/t/DUpW1FRj9ujVS9A9Y5KCyAuj654MmQKWkiKP8PZm7UPQ,Gradient Black,Black,Black PAC Cop,Blue Normal,None,Cyan Indicator,Yellow Tron,Punky
1096,3,594,67.56,https://magiceden.io/item-details/2WE86gZRNijVAQ3roRQRgqsjV2A9i3P6XN252CyT42pR,Gradient Purple Green,Brown,Punky Ninja Blue,Black Angry,Nightvision Pink,Purple MetaMask,Black Samurai,Angry
1107,9999,592,0,https://solanart.io/search/?token=EtmhshoSiWDG2TsPXG3BjHVzMc1RK8iZiBB3Zns5HFhz,Gradient Purple Green,Black,Punky Ninja Pink,Black Possessed Normal,None,Yellow RT500,Cyan Samurai,Normal
1109,4,1146,50.93,https://magiceden.io/item-details/FD3472aL2xqkccr3LTL7Vd34uw5JnWMmDRRnggrmcLDn,Gradient Purple Green,Metallic Pink,Purple Samurai,Normal Red,Laser Luminous Blue,None,Green Horns,Teasing
1179,2,1449,67.29,https://magiceden.io/item-details/DAqX75uuGM9afY7hT8psnLT1xzTSKKzaCyGU3VabF3x6,Gradient Black,Gold,Black AKN,Red Raised,LED Luminous Pink,None,Purple Headband,Happy
1187,2.5,149,77.91,https://magiceden.io/item-details/9FX7ddNP3ngp1nordGmEUVkVeoCXRHAk2gLd9Apje9we,Pink Wave,Purple,Punky Ninja Blue,Red Raised,Nightvision Pink,Pink Oni,Cyan PAC Headband,Normal
1188,0.6,3214,60.09,https://magiceden.io/item-details/ArxKPGGsenS5bt56o6HfEDh1adQcRDdoTGTVzrwmQifq,Pink,Brown,Cyan Samurai,Normal Red,None,None,Brown Wavy Bun,Normal
1191,0.69,987,85.94,https://magiceden.io/item-details/2b6LKYM627PxJEkgSUhXbMvbgskN9ZLhsB1cowpLM7BV,Gradient Pink,Metallic Gold,Cyan AKN,Black Normal,Laser Luminous Black,None,None,Sheesh
1194,5000,1755,0,https://solanart.io/search/?token=CmTaqNTWE8edqeBgC9cyDWX4Tr965seKyNCXWA1RrNsv,Pink Wave v2,Metallic Blue,Punky Ninja Blue,Sleepy,None,None,None,Normal
1207,1,1873,72.2,https://magiceden.io/item-details/7mRa3RcZqaErityoBUJSE9Tzxmsfe9Y1bmAe2vaag7ZA,Purple,Grey,Jungle Savior,Blue Angry,None,Silver MetaMask,None,Punky
1223,4.98,3179,16.71,https://magiceden.io/item-details/HTNN3HdUcmXKURUHp4tMv3UbWmiBfx2FAxK7QNZ6xYEZ,Pink,Black,Punky Ninja Blue,Blue Raised,None,None,Black Bun,Teasing
