id,price,moonRank,💎 score (%),storeURL,accessories,division,extra,eyes,hair,mouth,outfit,skin
268,0.45,1678,82.29,https://solanart.io/search/?token=7UAFjFfcKTDXtUMYcaa2sDJg6pmkLNXtVN6sGctt3N62,studs,dregs,black katana,emerald green,spikey red,cyber vampire,bruiser,default
270,0.41,3711,64.39,https://solanart.io/search/?token=Hw6inrfrAewt82wXbm9NUqBssp5tLB88JaamXhh1xt87,blue neon bars,portside,none,neon red,short blue,cyber vampire,saiba t shirt,implants
280,5000,3000,0,https://solanart.io/search/?token=3DUX5uHZ9UoHdqK1x7nHRBCqGwSxDLSSCcsZXj2XFEi8,red neon bars,portside,neon katana,neon red,black top knot,lollipop,rider,gunmetal
284,165,1303,0,https://solanart.io/search/?token=9SRvjN86GJsf2nH2mk7GZrDgaRNRcnwyBeZsZMjx4vH2,blue neon bars,night,black katana,neon blue,black bob,fearmonger mask,inquisitor,cyan
303,4,334,58.89,https://magiceden.io/item-details/BUhgqNqy5it9JRAZSMdvA9UHF7rY674pkDtr5hsjg94G,blue neon bars,portside,none,sapphire blue,spikey red,lollipop,lava,booster
309,0.96,2158,72.87,https://magiceden.io/item-details/8mrnLiDstdTaBe9otoHAJQRLe87Yjc22W7kjfwtzcqWn,studs,dregs,neon katana,black and yellow,black long,lollipop,saiba t shirt,scars
328,2.5,3490,45.48,https://solanart.io/search/?token=Frwc2LSKxaNkjT1T9CAESMEPyNg4TZ8UJpoSXmdLXmGg,none,industrial,neon katana,candy,red slicked back,default,robo arms,gunmetal
329,1,1955,74.3,https://solanart.io/search/?token=8MBZq47HJHwFz74wP42HdpaeUeB4qnC6mNXc3UddXUVp,none,portside,none,night vision,short purple fade,radioactive mask,brawler,crimson
330,5,205,50.05,https://magiceden.io/item-details/4aLpfH9gDvQAr1p9d7JtX9uuFXwo9AUdv2whFsYTFaCs,red neon bars,night,neon katana,candy,red slicked back,smoking,assassin,implants
340,0.9,2429,71.03,https://solanart.io/search/?token=EpcaCsoYdcCdMhZQSHE4aWNnRQqe1QNo4cfvTP2DJLyp,none,industrial,none,saiba x,short white,cyber fangs,inquisitor,scars
349,1,1805,75.65,https://solanart.io/search/?token=tFn74dQisWNxq4CUD4mLMcVhQDBFrZnkPXj9ehf4s3X,green neon bars,portside,neon katana,neon blue,middle part black,radioactive mask,adventure,crimson
367,4,964,53.22,https://magiceden.io/item-details/68tAzMrhVZCsUkpDqGsJ6StNdguQG2ce86nhgmKarjfz,none,portside,none,rage,short white,side grin,lava,cyan
368,13,1535,0,https://solanart.io/search/?token=4KKzFhMeNUEMoTuACw9xuybNJC9SN4PsvWq5RLsTZKgK,studs,portside,none,robotic,short black and grey,default,knight,crimson
371,0.55,696,90.13,https://magiceden.io/item-details/BkmJPk3qh6kDiTudybzDbEgFPTAaBtc8fjJukNwu2bU5,ball earings,dregs,neon katana,candy,middle part black and white,default,amplifier,purple tattoos
372,4.5,3115,28.86,https://solanart.io/search/?token=4AKJxrRkNwhkUuWKiQE1myEPb6hTZt5BUxUDmhe5w46T,red neon bars,dregs,none,neon blue green,short purple fade,lollipop,adventure,default
381,0.5,3957,61.28,https://magiceden.io/item-details/J6GCNdB7H8Jqat5JBtA59Avf5TcYQF8a7jz6fz75pJzA,none,dregs,black katana,neon green,mohawk,default,rider,toxic
397,0.96,1890,75.28,https://magiceden.io/item-details/8tkrU73Y3ooTMN7r4MtA7R26rKguLpUoZBexTqGNBvaX,kunai,night,none,augmented shades,spikey red,cyber fangs,saiba t shirt,scars
399,4,458,57.78,https://solanart.io/search/?token=5dhKVph8FSP9nrwfFZDTkChLBo2GR57nJWzVjzvhEBdQ,none,dregs,charge swords,augmented shades,spikey red,default,saiba t shirt,primal
402,0.7,3139,66.64,https://magiceden.io/item-details/82zwu9Tg74HvUQQdWk4HQR9JPzZUYhVsqdy6XL2nCd8H,none,night,black katana,neon red,middle part black,lollipop,amplifier,implants
408,0.9,2212,72.99,https://solanart.io/search/?token=FpfQShrGb1zLPzebGdyL8wntn6n7jFqSWnYGB1kJXUJp,red neon bars,dregs,black katana,black and yellow,mohawk,default,tech jacket,crimson
417,1.99,269,79.58,https://magiceden.io/item-details/2uH7oY8QwkiR7XCKHSAyHNmGotZGJj1fuem22aqyZq2a,green neon bars,night,none,neon red,short purple fade,zomie mask,lava,striker
427,7.5,226,24.87,https://solanart.io/search/?token=Hj3zf8D69TfqiZ3gqteb51E5A3WBfJriAzrteagmtnxP,ball earings,dregs,none,neon green,short red and black,thugbirdz mask,guardian,gunmetal
431,0.96,2104,73.36,https://magiceden.io/item-details/2MjTB3u82DEu42gZLdtfwjhNs1xmuUNenhRb3DYztb26,red neon bars,portside,none,neon blue green,middle part black and white,radioactive mask,brawler,default
432,1.99,2831,56.51,https://solanart.io/search/?token=82KzSsuj71uc79PHDVcyPQbHDnoxhwzjD5nfeQUW8N7p,blue neon bars,dregs,none,emerald green,spikey red,side grin,knight,default
437,20,495,0,https://solanart.io/search/?token=2g8EgBwqNmFnnqxbhKZQANMAtxN7HmHzmxkcUszABxPC,red neon bars,night,none,saiba x,middle part yellow,radioactive mask,knight,green tattoos
438,1.77,951,75.64,https://magiceden.io/item-details/6dP98h3e5Kec2N6z4orfKrmud3CgQfM1B9Cb3nASCiiX,green neon bars,dregs,none,black and yellow,short white fade,oni mask,inquisitor,scars
443,1,2964,65.22,https://magiceden.io/item-details/7Namg8d1TyiqFD5VtmueggWfoL4vdPu4RVjRvg7b1nS5,kunai,dregs,none,black,middle part black,smoking,punk,crimson
445,1.44,603,82.07,https://magiceden.io/item-details/PPt8oicR4sEuFFHhLojhSvwfssLfyZVdRmFjyLFGeSx,none,night,neon katana,sapphire blue,short white fade,shuriken mask,guardian,toxic
449,2,1720,66.41,https://magiceden.io/item-details/CxNupEuzfCPc5Rdz8KJTakPCUFN7shjHa35QnmNUZ5dz,ball earings,portside,none,black,short red and black,radioactive mask,robo arms,implants
475,6.5,284,34.34,https://magiceden.io/item-details/5aVN43u8AJXYcF3URd2E3b38Hhe7fkviAJuVa6NFhi51,none,portside,none,rage,red slicked back,zomie mask,monk,scars
487,0.47,4051,60.73,https://solanart.io/search/?token=99i2oCznzgRBAx38BeJDiKWjQYvHZ8wAEfo4uNXKtpEa,none,industrial,none,neon blue,black top knot,lollipop,adventure,implants
500,1000,3831,0,https://solanart.io/search/?token=8msrvYyhBYNgn2uQXMKGoLAxMVRV8vGPXrvEccDVeTEK,none,dregs,none,black,middle part yellow,lollipop,saiba t shirt,hemi
511,0.45,2622,73.79,https://solanart.io/search/?token=FQhuxFPfSwDGJoNpWGEvwmYxYM3RPWjchHEt6swwE1G7,none,dregs,neon katana,neon blue,blue top knot,shuriken mask,brawler,cyan
512,1,3253,62.61,https://magiceden.io/item-details/48xgJKbsStWijCbgxGvQV8dR9aCDharmhZaFr4r47XD9,none,night,neon katana,goggles,spikey red,cyber vampire,saiba hoodie,default
522,7,1131,21.72,https://magiceden.io/item-details/DEb6JM7C2UcC2HWb3CyHcnsUgUX3u3VgTSmdfFr4Bux3,green neon bars,dregs,none,neon blue green,middle part black,side grin,monk,default
529,665,3827,0,https://solanart.io/search/?token=GHcoPLbS6mw5aHfqgDF6N55oNJbjCvcZ3hdkDyeBQRwZ,none,industrial,none,neon red,middle part yellow,fearmonger mask,tech jacket,crimson
536,0.6,2150,76.54,https://solanart.io/search/?token=JBgnJ1pqBSewUZUnjS1ZK7EVNBCStSTWyp9b8jwZDz7k,blue neon bars,industrial,double neon katanas,neon red,mohawk,smoking,saiba t shirt,default
551,3,3190,43.18,https://solanart.io/search/?token=Cxm4PAjmBmqCwkjnE3KFfQAgB1HQQ4NqUkReVJPX7wmb,green neon bars,night,none,black,red slicked back,default,amplifier,toxic
552,0.243,2609,75.98,https://solanart.io/search/?token=5W3RGjZqGRggekMnu8vLBvHSKQ4gPrGFiLzSEDFr5hqB,kunai,dregs,none,neon red,short purple fade,cyber fangs,adventure,crimson
555,0.8,1724,78.38,https://solanart.io/search/?token=HZxnAgjM4pZLXifrmpwx6XzEAC8QHPFnxRe4ezHQofgM,studs,portside,none,sapphire blue,short red and black,side grin,robo arms,toxic
559,0.58,2387,74.61,https://solanart.io/search/?token=4ArReoFFwDA2QQf8VNEuSpc26UAfhakpER99KqZNkUJd,studs,dregs,black katana,neon red,red slicked back,cyber vampire,knight,scars
561,100,11,0,https://solanart.io/search/?token=3uQrpD2WA8KqUqfH7mVsRiREBuN2Z9p5wzrHJhiaoEJL,ball earings,industrial,double neon katanas,neon red,short red and black,jungle cat mask,bruiser,booster
565,4.5,86,56.13,https://magiceden.io/item-details/4zCEfUfEdEC9eKBN7FrGQ62V5XbjFnSZCQ5AYTjDdJxV,kunai,portside,double neon katanas,emerald green,blue top knot,lollipop,robo arms,booster
569,200,72,0,https://solanart.io/search/?token=CoHsuMa7W3XrS6d25M2HUgtQ9hhRi7Mtp5uxGtWfvibt,none,portside,double neon katanas,sapphire blue,black long,assassin mask,saiba hoodie,booster
570,100,500,0,https://solanart.io/search/?token=3BrLwmPmALSA7mJUpdyXixzW65zqogzncrTaBoWReTvj,none,night,double neon katanas,neon red,middle part black and white,fearmonger mask,bruiser,purple tattoos
571,0.3,858,91.18,https://solanart.io/search/?token=AQ9fBptDpNkoM8BP7eK8ngM9T7wQ5QZGEZ6bFtbArw4y,studs,dregs,emerald blade,neon green,blue top knot,cyber vampire,knight,default
573,2.5,1799,60.7,https://solanart.io/search/?token=DJ8oH5WiqH1ebQfY3UeBvjVfbmhTVXp5WHPzSkNzW4Nx,none,night,neon katana,night vision,short firey red,side grin,punk,purple tattoos
583,0.55,2962,69.73,https://solanart.io/search/?token=DynSZz6Mt4MsQDYZhDPrDVjEu4btzUXoYiCiAAHgGxQs,none,industrial,none,goggles,spikey red,smoking,tech jacket,implants
592,0.39,1817,81.64,https://solanart.io/search/?token=5Mxy1vcRg1bWZQTAZjBrvZM6Ji8cyTGbkvV7rpu332Gr,studs,portside,neon katana,neon green,black bob,cyber fangs,saiba hoodie,booster
593,2.5,3413,46.17,https://solanart.io/search/?token=FRUS6QYwJ3xGeU4pXKyG3v3vAhMGvvYAMHEp7EHPKmq9,none,portside,none,neon blue,short black and grey,viper mask,amplifier,default
595,1,1433,79,https://magiceden.io/item-details/5T522WjxZ13QWKBPfV7gBPdM5KMzXFiLZYFKLUkTvd74,none,industrial,none,saiba x,white slicked back,viper mask,punk,green tattoos
604,1,2252,71.63,https://magiceden.io/item-details/9edJ82eiCtAkzcU3XngqzdZp2nJ9ppLcFqX68ZnHMZcU,red neon bars,industrial,none,neon red,blue top knot,cyber fangs,tech jacket,striker
619,2.2,320,77.02,https://magiceden.io/item-details/8L3A4MrvaKgrhXfpAtqTcZ3mUtLMHb5SgPRuHwugaAbb,blue neon bars,portside,none,neon red,middle part black,zomie mask,brawler,ambernetic
627,5,1307,40.13,https://solanart.io/search/?token=87ELrD5hyaXHNjCseCodRYDW2MN4K5eHWYrLuBjaPUdq,red neon bars,night,none,augmented shades,short purple and black,oni mask,knight,default
628,4,151,60.54,https://magiceden.io/item-details/cXB9sNn47KGULtmt83XxF3pePEEigKvUwoWWhgzgitV,none,portside,emerald blade,black and yellow,short purple and black,cyber vampire,inquisitor,purple tattoos
630,11,2731,0,https://solanart.io/search/?token=7AhHfKnAFcbgWB2NEYPWAU9HQx6bPW753mdzA488Q6U8,green neon bars,portside,neon katana,black,short firey red,side grin,adventure,crimson
639,0.99,1029,82.74,https://magiceden.io/item-details/5WE1r3rVk6yXWZ6rjNnqscJ5Lg8pd3sayoNbc8BLYgjk,none,night,neon katana,sapphire blue,mohawk,zomie mask,bruiser,scars
641,0.74,3777,60.5,https://solanart.io/search/?token=ESDYaRP2Lh5UT8ddgpTQWRkCjkUB4ASmHRA4a8XJk541,studs,industrial,none,neon green,mohawk,cyber vampire,rider,cyan
645,0.35,2513,75.78,https://solanart.io/search/?token=DE8Bby5ChMz9HUrXK3uJSMshQj9rt6CFB7K4R9Q9Vut,kunai,portside,none,sapphire blue,short purple fade,shuriken mask,saiba t shirt,default
655,5.5,420,43.12,https://solanart.io/search/?token=4uxjDBgd85S9FPrQNoiQJFahSXUsWxJ3YSM6UTaU8wwZ,red neon bars,portside,neon katana,neon blue,short blue,assassin mask,saiba hoodie,green tattoos
660,0.32,1078,88.99,https://solanart.io/search/?token=3LSTdC5gDdpajirZmyVap2CXs2Y4ToRRjJ4aQ4LJA5T7,blue neon bars,night,none,candy,short blue,shuriken mask,inquisitor,cyan
673,5,4027,15.65,https://solanart.io/search/?token=885X8rM3iYUA4RXD8SvxxdGkZXXmWXWowGmZZgp9w6Yt,none,dregs,none,neon blue,middle part black,cyber vampire,adventure,gunmetal
674,1,453,87.82,https://magiceden.io/item-details/JD8gchhxLuTfFBVQPduhHRnbT3thJzwXuMFMPCb1Fdnb,blue neon bars,portside,neon katana,neon blue green,short purple and black,jungle cat mask,rider,gunmetal
679,1,3012,64.78,https://solanart.io/search/?token=4kjXJ1W3z1KoCJAu1CeXfEU6Uk12kCF3uuqF5Mj89XkW,red neon bars,industrial,none,black and yellow,middle part black,default,amplifier,default
692,1.26,580,84.08,https://solanart.io/search/?token=3oxEnfdnZYP8U9vHzSyDTXEBHiPivWbCBm29ivo7F6aj,ball earings,industrial,black katana,black and yellow,spikey red,cyber fangs,adventure,scars
703,4.59,306,53.25,https://magiceden.io/item-details/461YJM6Z9E4L7CgWMYG1XPkA3uPy9Bf7WxtdUieEetfe,blue neon bars,dregs,charge swords,candy,spikey red,default,saiba t shirt,green tattoos
706,0.55,3081,68.66,https://magiceden.io/item-details/5efGCcFtjoRiCQmo9pqHL72ngB5JwNFELXQH1fwTenFh,none,industrial,neon katana,neon blue green,short firey red,default,inquisitor,implants
714,10,267,0,https://magiceden.io/item-details/F9jd2QmYeAxSUpTnCQZNydeUaTbyNiUHE2eFka3xKNY9,none,portside,charge swords,neon blue green,short black and grey,side grin,tech jacket,purple tattoos
723,0.4,2448,75.86,https://solanart.io/search/?token=TpEz2G56gPu6JUorR2gsdUUsSBKcAFxNBTgzWskSfcV,none,night,black katana,neon blue,black bob,fearmonger mask,rider,toxic
729,1,154,90.51,https://magiceden.io/item-details/D2p4W9CCYZRSV8ZX5cZSqZaCGLCrAizobfdQVz8oH2H8,ball earings,industrial,double black katana,candy,spikey red,smoking,saiba hoodie,green tattoos
743,2,953,73.32,https://magiceden.io/item-details/Ct3DLq9imeWML676viYQ8SpuvvoUak8J6MxAXZMmVR9B,studs,dregs,none,neon blue green,black top knot,smoking,knight,booster
758,4,1121,51.81,https://solanart.io/search/?token=EHAWp24arm5raKmU27xm39siZNTTVzE1EjCE45ZcKT59,studs,night,black katana,emerald green,black top knot,default,knight,booster
765,0.8,1133,83.7,https://magiceden.io/item-details/2M89M3FmEFegGwz1VJnigvrdbS52EAk6Cnu6BKZRPwTq,kunai,dregs,neon katana,neon blue,blue top knot,cyber fangs,robo arms,primal
786,0.4,2240,77.73,https://solanart.io/search/?token=21q2B4pjtYMZdHSh9bN487aZ7UXvWyjMLhk1PSLTwYMj,blue neon bars,portside,neon katana,neon red,blue spikey short,side grin,saiba hoodie,primal
795,0.5,2466,74.7,https://solanart.io/search/?token=5xiabiRMKYenkbkFfjQogdXeghMJessk4mRw7Yq9jB8c,none,portside,neon katana,black and yellow,middle part black and white,default,tech jacket,striker
799,4,1075,52.22,https://solanart.io/search/?token=hcFacSTJkPWhxRfMTQD1s5Gq8dATrxCBzAYekRzSDcQ,kunai,dregs,none,black,short white,cyber vampire,rider,ambernetic
802,0.8,2817,68.54,https://solanart.io/search/?token=6psPB7k6bnenDocFJLZ6DDpYCizTanFe1BGNEVxXk4Vi,kunai,night,none,black,middle part yellow,fearmonger mask,adventure,default
807,1.5,1285,75.33,https://magiceden.io/item-details/5e9j15af9eh7pqJrQZoq4HurACBKtw9PJL2J63GB4srE,none,dregs,double neon katanas,neon blue green,blue spikey short,side grin,adventure,crimson
808,0.99,2436,70.07,https://magiceden.io/item-details/Aynj98fSwbSghynz2hsjC1RaW9YHwafXrW6fTf6R231H,green neon bars,dregs,none,black,short white,radioactive mask,tech jacket,primal
812,0.71,3144,66.49,https://solanart.io/search/?token=BcvecAmpfb4ciUEvLz3ewJcrQP23Afyst33JqUyy8HrG,none,dregs,double neon katanas,neon green,blue spikey short,cyber fangs,saiba hoodie,default
821,1.5,2759,62.06,https://solanart.io/search/?token=AJYmYA35AScZh7GnjjrNXJogGnS9ofxkPPAv2hXnmwKv,none,portside,neon katana,emerald green,short white,fearmonger mask,saiba t shirt,gunmetal
837,0.83,3528,61.84,https://solanart.io/search/?token=21Qffn1WTp378VoRzr4kEdJXp2ywJEqy9RSaATyRLBSj,none,industrial,none,neon green,blue spikey short,viper mask,punk,gunmetal
838,0.9,408,89.23,https://solanart.io/search/?token=7VPCyoJcdPebd3oMuYA52db2rrLi7VfPA9EuVCi83seA,blue neon bars,night,black katana,gold diamond,short firey red,lollipop,saiba t shirt,primal
840,1.2,123,88.79,https://magiceden.io/item-details/CxHJmPKymYcFzhWgSqWc7HHm5HdGZrEfU93UHHxi5gym,red neon bars,portside,neon katana,night vision,black long,fearmonger mask,lava,crimson
849,1,2412,70.18,https://solanart.io/search/?token=4f7LfkNerriwazryWBpQbtwTTMnHhfGJGF8LjqvzVUYF,studs,industrial,none,sapphire blue,short red and black,cyber vampire,robo arms,scars
851,6,2910,15.7,https://solanart.io/search/?token=3v89uW7uRy22Tp7D9eE9xjLASyj7uMm3XsKJsHqHPbpE,red neon bars,dregs,none,neon green,short white,cyber fangs,saiba hoodie,green tattoos
866,4,1527,48.15,https://solanart.io/search/?token=8a5XXQSwUczM9kxFw3ES9XkMruVh6e3D8JxstXxJMGmj,blue neon bars,industrial,none,black,short black and grey,jungle cat mask,tech jacket,implants
875,0.33,1796,82.43,https://solanart.io/search/?token=4eCrME38331NLrBnX8NLGRdHGLkCqTRGbKnXzJLoh8ak,none,industrial,neon katana,neon green,mohawk,oni mask,robo arms,booster
905,1,4089,55.09,https://solanart.io/search/?token=4zRu3PM5RX1Urj3BmUXfM9CUP9FKpBBEb4HNAMWAJPeX,none,night,neon katana,neon green,short black and grey,default,robo arms,scars
913,1.99,215,80.06,https://solanart.io/search/?token=FXMqkrmdYHAyuXwGCLUMUA54adhRtp6xkkPHvAd75GVU,ball earings,night,coil swords,neon blue,short blue,lollipop,knight,toxic
914,1,2566,68.8,https://magiceden.io/item-details/C7uLQxbDkdc4FzKXf6hCSLvTvjy7qU9SNtU5EgH3mJKP,none,night,neon katana,neon red,black long,lollipop,guardian,implants
940,0.4,3013,70.77,https://magiceden.io/item-details/EJ69AVatxjLHkYvKLkYocFRRHryvGHjQ2QqbSa3zgFu6,kunai,portside,black katana,black,blue spikey short,default,robo arms,scars
945,5,1152,41.53,https://magiceden.io/item-details/32LeTX15YxjgNXAbQaNdWU9LPyzsoMHM8uoVeN2rFmMs,kunai,dregs,none,goggles,short purple fade,side grin,knight,crimson
949,3,1486,58.52,https://solanart.io/search/?token=9dq8GGdVE5gcSRagLSqA8Ybreaa2KKNcLo7c6TPPWTn9,blue neon bars,night,none,neon red,short red and black,fearmonger mask,brawler,primal
954,2.5,246,74.69,https://magiceden.io/item-details/2Rs4L5BJRVyTuPhS3a45pNiPHi99Nh1n9jAp8PDrxW7j,studs,dregs,double neon katanas,neon blue,blue spikey short,viper mask,robo arms,toxic
974,2,3716,48.45,https://solanart.io/search/?token=14Bh9ppnUhkiBBmuW5uxuJDioQeD9y5kpcAkCnUFmD2W,red neon bars,night,black katana,neon green,short red and black,lollipop,saiba t shirt,default
983,0.499,4026,60.66,https://solanart.io/search/?token=24sfaPzNS3iNZK61qLfZdZhJbRvpXdK4edHZC2fa2Bjg,none,industrial,coil swords,black,short firey red,default,tech jacket,default
984,0.3,2890,72.88,https://magiceden.io/item-details/DkRJbXzrkkNHBVARybbxj2ektqA4Luq6GcPFy5NHUckq,red neon bars,dregs,neon katana,neon red,short purple and black,cyber fangs,saiba hoodie,scars
985,0.36,4342,59.21,https://solanart.io/search/?token=F3DH4JmbAJ1Xqr3K7ktbMZpJ7Kmp7M3285uBAU7K9QiY,none,industrial,black katana,black,short black and grey,cyber fangs,saiba t shirt,default
986,0.3,3651,66.03,https://solanart.io/search/?token=C6Y8f3AZXtezFKqN2t6z3PpXmwhFNPhuxos8VSv3QKNa,blue neon bars,night,neon katana,neon blue,black bob,default,punk,scars
991,0.27,3360,68.95,https://solanart.io/search/?token=FjPtfBvgPsUAKrEWkLDhVA9onvJg4i63qhZ1arhH4bEP,studs,portside,neon katana,black,middle part yellow,lollipop,brawler,default
