id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Celestial Accessories,Clothe,Eyes,Face,Hair,Mouth,Skin
312,1.99,6429,54.15,https://solanart.io/search/?token=79ioCcsvx71yWFKGEeoC3hNkP1LQk2g2WhGnrydyJZBq,,Green,,T Shirt Red,Elementalist,Ninja Mask,Ponytail Red,,Undead
314,4,6220,34.99,https://solanart.io/search/?token=DZhJnwXqf4MJGADdELEnk9KM1SVLeannZgzusy9Pd5y5,Nose Scar,Red,,Shirtless,Fire,,Police,Angry,Pale
344,1.5,3585,71.86,https://solanart.io/search/?token=4uNTQNA2a7sqAhhidpEuJHLL18hHYmDJNSpfPLhZkRDk,Neck Bandage,Green,,T Shirt Red,Bulls Eye,Fox Mask,Spiky Purple,,Undead
346,2.2,2151,71.32,https://solanart.io/search/?token=CkFroPPUJyCs6Dm3QHK5BhnPgfrUBCc75tERAg944fQN,,Purple,Ruby Earring,Gangster Jacket,Devil,,Police,Shark,Pale
355,2,4735,61.68,https://solanart.io/search/?token=3Y9KXTJZvUi9oAMEWwJD8ZdmNDxcsnK4Ny3yriAWjXjJ,Rope Choker,Purple,,Suit Teal,Fire,Snake Tongue,Long Black,,Undead
366,2.366,3135,65.22,https://solanart.io/search/?token=5icanLLsTpbPqXetcuQ9tNP9rtVrn9cSSjijBAAwUfSL,,Yellow,Wu Zhu Earring,Yukata,Orange,,Spiky Blue,Shark,Pale
377,2,5858,56.62,https://solanart.io/search/?token=GuKd8CQ3HZPme469p23dqSScrUW1cut3d3z4RbFM1MAw,,Yellow,Cat Mask,Shihakusho,Nymph,,Textured Purple,Neutral,Pale
382,0.7,5906,69.41,https://solanart.io/search/?token=EGJqbwHrxx2dtWGgtXLFvtkmoxfqNs2WRhmHpcADLiMc,Neck Bandage,Purple,,Changpao,Closed,,Spiky Blue,Angry,Tan
387,2,5108,60,https://solanart.io/search/?token=BvExyVcrRJrppm452xYjB75cutysxa5TU9vCpTe5sfa,Bandage,Yellow,,T Shirt Black,Fire,Snake Tongue,Long Cyan,,Undead
390,2.1,4064,63.7,https://solanart.io/search/?token=8jPFq6GF7UwKNct9BwC8FaG8wLAhhwzDyQmxqBDBEsL4,Nose Scar,Yellow,,Suit Teal,Purple,,Textured Rose,Fang,Tan Tattooed
392,0.4,7284,66.2,https://solanart.io/search/?token=HTrUe3gRTx2hDeXEdQTFRBqUC9fHPoPbR2JK7jYNByxE,Nose Ring,Blue,,Ninja Vest,Purple,,Spiky Teal,Stiched,Undead
403,1,1074,88.16,https://solanart.io/search/?token=9eEduG93yT5J3v3w9ohKRBgLkE4HRj43im67GXiq5ifZ,Bandage,Black,,Tanktop Purple,Nymph,Cigarette,Textured Rose,,Kaisen
411,5.5,8072,11.66,https://solanart.io/search/?token=6fjbdUFjsBFRofHrwbTR63vwKCDpjnN1tWCWDAio3KSm,Rope Choker,Yellow,,Tanktop Teal,Closed,,Ponytail White,Neutral,Tan
422,2.2,7280,48.22,https://solanart.io/search/?token=9SfRqkLjx5MY7ZGttut4J5qDQ44q8Cg9cZyXHfUJxeKL,Neck Bandage,Green,,Tanktop Black,Devil,,Textured Green,Goblin,Undead
424,3.99,847,59.29,https://solanart.io/search/?token=AzwgZXR9DqnhksnNkhgawjZk41iRRsTe15Cd5nyqkowa,Cheek Bandage,Holo,,Skeleton T Shirt,Closed,Cigarette,Man Bun Green,,Tan
427,1.49,1646,80.69,https://solanart.io/search/?token=9tSs57rZCsKdpC5DwHvaajGEeQtjwfGyehxav19dm82m,,Red,Ruby Earring,Tanktop Red,Purple,,Textured Purple,Neutral,Zombie
449,1,7110,60.99,https://alpha.art/t/9KRxY6JWJzCtmMW8pGapnNC4prJ6eyK9CZZiqVPtAB2A,Nose Bleed,Black,,Jumper Yellow,Purple,,Long Red,Stiched,Pale
457,2,1506,76.22,https://solanart.io/search/?token=Bfs8FZHYFU99rJHmnvqqHSg1aZjRjeh3FMgLZSagzwtE,Cheek Scar,Purple,,Shihakusho,Devil,Face Mask,Spiky Purple,,Tan Tattooed
490,50,7495,0,https://solanart.io/search/?token=CTwipF9HvKFEAQ2j12vgAJVk6xiaH6AFBrnXZpnQAPo1,,Blue,,Ninja Vest,Purple,,Goblin,Shark,Undead Tattooed
498,3.8,312,63.6,https://solanart.io/search/?token=4QRoEgivPoPG8CdE6kjLcmYB5j1YTgpeyr6bvDg6ifPn,X Choker,Yellow,,T Shirt Black,Bulls Eye,Noh Mask,Spiky Blonde,,Kyubi
508,3,1942,64.26,https://solanart.io/search/?token=EWdiuLCp36XE3ixPi9AXq6iMr8DtYAa36oQDfHd6W2ES,Stud,Blue,,T Shirt Teal,Purple,Bubblegum,Textured Rose,,Pale Tattooed
513,2,4356,63.39,https://solanart.io/search/?token=E9otCaMSRjr5AFjKReM3jvr1DtUZcGRKbfuGB8vuCkUG,Neck Scar,Black,,T Shirt Navy,Fire,,Ponytail Red,Smirk,Undead Tattooed
542,1.61,577,84.3,https://alpha.art/t/Hod5aGbTxrFwFQtcHJmY7pqRLGhaSSvmJx7GwxR5YPBs,,Red,Royal Blue Earring,T Shirt Red,Possessed,Snake Tongue,Spiky Purple,,Undead
544,3,544,70.55,https://solanart.io/search/?token=AzK7WnzrH6GKmeMY1PkCGbc6UVxfqqtSKbJS9ewvzKAs,Cheek Bandage,Blue,,T Shirt Black,Galactic,Hahoe Mask,Long Cyan,,Tan
567,0.5,7741,63.15,https://solanart.io/search/?token=CHdQsTu2As3xDpS3Rq4YqAt5mUeW2QhF7irYwJpsWHDs,Rope Choker,Green,,Suit Classic,Purple,,Long Teal,Goblin,Undead
580,1.99,1967,74.24,https://solanart.io/search/?token=8LXxCixKSb7QUVwexz1dHCsRP2AiVq1dWQeHKpx7B6h6,,Purple,Nimbus Earring,Tanktop Teal,Closed,,Long Black,Smirk,Pale Tattooed
655,0.5,8433,60.03,https://solanart.io/search/?token=Em28g9hvzmGWXu8MihNQqH9WCdWKqpwtaRjn5Jwiryfu,,Yellow,,Jumper Pink,Elementalist,,Ponytail Green,Stiched,Tan
668,20,145,0,https://solanart.io/search/?token=3KjzQ1XPTFEbHppmUfAEHkdaqTQfxyE2Pq3Z8nDLqboD,,Purple,Oni Necklace,Yukata,Nymph,,Dreads Purple,Goblin,Zombie
674,4,8250,25.85,https://solanart.io/search/?token=F2F4j72H4VMyacRc1CnV5RoNLyQkxwhvoffEgMutZjtK,Stud,Yellow,,T Shirt Navy,Devil,,Long Black,Neutral,Tan
704,2.2,1628,73.67,https://solanart.io/search/?token=sFVaUzcUFVeDsjhENU1fVir61mKcNxZ2SvDGBFj579e,,Mystic Blue,Ruby Earring,Elementalist,Devil,,Ponytail Green,Fang,Pale
742,5,3279,38.24,https://solanart.io/search/?token=G6tUQSKhqq56q19kvLKQHzeKqCSQ7hEvxb9g19HESLDv,Nose Ring,Red,,Suit Burgundy,Orange,Cigarette,Goblin,,Undead
752,1,6682,62.91,https://solanart.io/search/?token=3RX4WSL3pTMFWCiHQtAyFZv88bZAenUamFSZCGJtY1Nz,Nose Scar,Purple,,T Shirt Navy,Closed,,Spiky Blue,Smirk,Undead
768,0.52,7980,61.87,https://solanart.io/search/?token=8ZLB2D14xEnBsv3amvRW6TtHNJvrM9BnQsgBF77Vm5J6,Pain Piercing,Purple,,KAM1 Jacket,Fire,,Man Bun Green,Angry,Tan
776,1.69,5910,59.49,https://solanart.io/search/?token=9EJXqUPVpp9sJbPF8Cu6MyadKYN9DePZgLmgLqY7NdTy,Oni Talisman,Yellow,,Celestial Suit,Orange,,Textured Green,Smirk,Undead
811,1.2,6675,60.95,https://solanart.io/search/?token=EAJjhXG2C6xwrQkcYhubKpw6urjevRdMzkiKMUzuV1Qh,,Yellow,,Skeleton T Shirt,Devil,,Samurai Bun,Angry,Zombie
819,10,1549,0,https://solanart.io/search/?token=23Q5XZvLcuCjTwrohFDSBkr4wJWGDfVzW9EXKPqAAwTw,Oni Talisman,Blue,,Emperor Suit,Odd Eye,,Textured Rose,Smirk,Pale
828,5.6,54,46.76,https://solanart.io/search/?token=971jdk1yrstbEj3KRWCwCoyq2D76K5X9q5aqWg1ATjjT,Eye Patch,Green,,Tanktop Teal,Odd Eye,Bubblegum,Samurai Bun,,Kyubi
858,1.99,8078,46.73,https://alpha.art/t/7cvnCpuQi3nS2JWq3HoPxnAVbbp4CoS2bz6bb4TPBKMz,X Choker,Green,,KAM1 Jacket,Purple,,Ponytail White,Fang,Pale
875,1,8186,56.14,https://solanart.io/search/?token=61hLxZGgjeYQjCzs5xboC9R92AcwjnTaUaLubM6AQSwe,Cheek Scar,Blue,,Jumper Navy,Nymph,,Long Black,Angry,Pale
905,6,2072,33.67,https://solanart.io/search/?token=8gpHMT5XGHGhbUfxgM3Aydj2sWUci19xYGmTMZAVFM4s,Cheek Scar,Green,,KAM1 Jacket,Bulls Eye,Cigarette,Long Red,,Pale Tattooed
932,40,5828,0,https://solanart.io/search/?token=BWdF6Shdd2A5tZpCR8JeJbgvHRUMCeLuAxDaP6yUpEWD,Cheek Bandage,Blue,,Shinto Uniform,Samsara,,Textured Teal,Stiched,Undead
934,1.87,2452,73.26,https://alpha.art/t/4q9EbT7gXPW1RXZghRwmSqtXX9fB1XKfqfCoKHBvw5kJ,Bandage,Green,,Raijin's Robe,Nymph,Fox Mask,Long Black,,Undead
941,2,1259,77.33,https://solanart.io/search/?token=FtBgV2xAf1V9Dz29iebgkLcZLd9kkwzSR9MFtYsyjEd2,,Green,Silver Earring,Yukata,Fire,Bubblegum,Dreads Red,,Undead
946,2,898,78.96,https://solanart.io/search/?token=CYWuTq6Wqo73WRYEYakiZpwxiTdo88hTSSXSpi7vtxYR,X Choker,Holo,,KAM1 Jacket,Samsara,Cigarette,Textured Teal,,Pale
961,1,3881,75.53,https://solanart.io/search/?token=X5x3aCU2ZWVKN9DfbfkC3hRo1h8zEwFeteGJkTqvm2N,Rope Choker,Green,,Suit Classic,Fire,Noh Mask,Ponytail White,,Tan
989,3,5339,48.96,https://solanart.io/search/?token=GDmmMDTTtSFHp8NupxawEsJSVW5JUZfC5jUhLjMQViL8,Cheek Scar,Blue,,Jumper Navy,Purple,Bubblegum,Long Cyan,,Undead
995,0.79,2232,85.05,https://solanart.io/search/?token=9CBXmcYGfvanwjzsQiHA3HWBhrQrcyzgHyuTgpGq5RDh,Neck Scar,Blue,,Gangster Jacket,Nymph,Fox Mask,Textured Rose,,Undead
999,5000,6397,0,https://solanart.io/search/?token=Ge5zMEpaSNgEz8Zu3mXXVFaDHqDYKQGHdSCdPdnqcR7y,,Purple,,Shirtless,Nymph,,Royal,Shark,Undead Tattooed
1002,2.13,6219,53.7,https://solanart.io/search/?token=4zCD4FhyBT5b8QtUhJ4q2EnHB4TamQzdACJT6ZwVXiLf,Eyebrow Scar,Green,,Military Uniform,Fire,,Man Bun Navy,Neutral,Tan
1007,92,261,0,https://solanart.io/search/?token=2MFu3etyuu1GqMgTVNWjiGCp6rcRj8WdRghc98jvCqYG,,Mystic Blue,Amaterasu's Necklace,Celestial Suit,Orange,Gas Mask,Dreads Teal,,Pale
1018,222,2694,0,https://solanart.io/search/?token=FnENb1m1ZffHHSd4c8b13qcgdkGj7kmQ8Rb1S99ugyrb,,Mystic Red,Amaterasu's Necklace,Shihakusho,Samsara,,Ponytail White,Stiched,Tan
1047,2.39,3640,62.71,https://solanart.io/search/?token=HJgL7gAZzBzd1EHSSKT7sw8mQQNCtbbH7CJycRrtovtH,,Purple,Royal Blue Earring,Arctic Jacket,Devil,,Spiky Teal,Neutral,Undead
1080,2.1,2322,71.55,https://solanart.io/search/?token=5QeXyFfdyVQi3EjB4C6BpNT76udV4wt3zr9EV48SKQYk,,Red,Scouter,T Shirt Teal,Possessed,,Long Teal,Goblin,Pale
1096,1,7165,60.74,https://solanart.io/search/?token=CVTUBo5G22eNm1RUZ9zzrxwfbwLcsahgKBSqiUC5AH5s,Eyebrow Scar,Yellow,,T Shirt Teal,Closed,,Dreads Rose,Fang,Pale
1102,13.5,8304,0,https://solanart.io/search/?token=EwvPKj5ReJv3jUsg3eWu3LQbkb1RZwBbxUq9YG9KfA9v,,Yellow,,Emperor Suit,Samsara,,Long Teal,Stiched,Tan
1104,1.6,824,83.29,https://solanart.io/search/?token=9PeTQbSVYBWpjppWGqUfuntDobLrfd6VMNNwtn4ZvF9h,Celestial Choker,Mystic Blue,,Celestial Suit,Fire,Ninja Mask,Long Cyan,,Pale
1115,0.99,7653,58.64,https://solanart.io/search/?token=BPMVTGg3oSfNQpzEN7oQUcFL75Mjn8jGDvY2cs6abCaa,Nose Bleed,Black,,Jumper Navy,Purple,,Long Black,Fang,Pale
1122,2.1,5208,58.55,https://solanart.io/search/?token=BSVJyXSKCVTTJ9qTwVHz6Zhh5uontRM7JBEsPAxJmdbR,,Green,Revenger Earring,Tanktop Teal,Fire,,Dreads Red,Stiched,Tan
1140,2.8,1540,68.07,https://solanart.io/search/?token=12bvYxk7f54RXLKHTYKSkMP2SNcnMd6F8svRmxU3sW3i,,Red,Royal Earring,Shirtless,Fire,Hahoe Mask,Ponytail Green,,Pale
1152,19,5317,0,https://solanart.io/search/?token=DyqyUbZw1trzYkMas1LJch4ibS7iKFi2HELxK8Low3Vy,Neck Bandage,Black,,Ninja Vest,Odd Eye,,Long Black,Smirk,Undead
1153,1,3487,77.3,https://solanart.io/search/?token=2CWe4ErCzBQguBjVZaU3eQDKGxAFwgyZEUsKUeXyifHZ,Eye Patch,Blue,,KAM1 Jacket,Devil,Hahoe Mask,Spiky Purple,,Undead
1156,2,5606,57.76,https://solanart.io/search/?token=FRfunp5DDGr9BRMHwYW2EE1dxDMZLf7NaTvqSZBinNJx,Eye Patch,Mystic Blue,,Shihakusho,Fire,,Ponytail White,Fang,Undead
1166,1.9,4671,62.97,https://solanart.io/search/?token=BuXhexQTzUytRPvzXwmrSD89wQVNGxaM66ggzznrgdSh,Oni Talisman,Mystic Blue,,Jumper Yellow,Devil,,Spiky Purple,Smirk,Undead
1185,0.94,7309,60.69,https://alpha.art/t/3kQWy14DVEirvkfApVLFFJtCHGXvZZjVP4XNEuwbhTqi,Cheek Scar,Green,,Tanktop Black,Samsara,,Ponytail Black,Fang,Undead
1196,2.8,5835,48.73,https://alpha.art/t/6EiexFU4B92KvFSBmv99Cje6opzcQJTXAJQSiJJZbtcJ,,Yellow,Oni Earring,Jumper Navy,Devil,,Textured Green,Neutral,Tan
1219,0.4,6214,71.02,https://solanart.io/search/?token=ALFagVcjPwXMq97kXNfEHn9rSg8U64NDWn4kuQrNokZh,Nose Bleed,Blue,,Gangster Jacket,Devil,,Long Teal,Neutral,Pale
1221,0.5,4212,79.04,https://solanart.io/search/?token=AqoWfA9DSdSjNp6whZRU16fhTerKbuvVyvFt9DfZUDw1,Nose Ring,Green,,Shihakusho,Orange,,Man Bun Navy,Fang,Undead Tattooed
1229,0.59,5222,73.59,https://solanart.io/search/?token=cHcv5HUrQrnvYMQCen4ta7LuJ3g7zu5idZuQbEAadDd,,Blue,Amaterasu's Necklace,T Shirt Teal,Fire,,Man Bun Red,Smirk,Pale
1239,0.98,5597,68,https://solanart.io/search/?token=4fVjnnD7xHuNpbtSU2Z8rvhCKLxfR4Q3RR54FnR2QsjD,,Red,Cat Mask,Jumper Navy,Orange,,Ponytail White,Goblin,Undead
1242,4.5,6600,28.28,https://solanart.io/search/?token=GkQZGqFNj12JpSbqsfVZrZh3F57qyTHQgTPqKqjnJyUM,,Yellow,,Slayer Uniform,Samsara,,Dreads Purple,Angry,Kaisen
1245,1.6,1383,80.77,https://solanart.io/search/?token=BUMtqzSf5Gh1Ha66jaNjyHik7jjoCSSipzoDNZE1Ea6h,,Black,,Suit Burgundy,Elementalist,Ghoul Mask,Ponytail White,,Kaisen
1266,199,399,0,https://solanart.io/search/?token=E3MMNH3dFgbCPLc8nd9MHoq4L2WaTcmLtotiUPv97VLx,Pain Piercing,Green,,Montsuki,Galactic,Ninja Mask,Ponytail White,,Pale
1267,3,895,68.97,https://solanart.io/search/?token=Az6D5hCUyK3GTY4zkgs22LUAaDaDCQMQr31wMm2fjjem,,Black,Dragon Earring,Gi,Samsara,Hahoe Mask,Ponytail Red,,Undead
1277,2,4054,64.75,https://solanart.io/search/?token=DPGg7FchaDdti5nBy7ciXixpsSYr4KoFuJSURWrAYQU,,Green,Silver Earring,Jumper Navy,Bulls Eye,,Zero One,Fang,Pale
1284,500,2756,0,https://solanart.io/search/?token=B7WsjRWqXvwjMZj5KjxoaTajAHoR2K6JPcYbgozTuZeU,Rope Choker,Yellow,,Montsuki,Bulls Eye,Hahoe Mask,Textured Green,,Tan
1294,0.7,4557,75.48,https://solanart.io/search/?token=tzsYJtyWcVEZJ4zDcr8FYE69LscowgwYfQfLVNi2DxD,Rope Choker,Yellow,,Shihakusho,Bulls Eye,Snake Tongue,Textured Teal,,Tan
1295,1.2,8462,52.9,https://solanart.io/search/?token=7LAtQDYPCgTuffduBLCUD1G6p7Aur2iktqJ9hrDrxHCf,,Mystic Blue,,Jumper Navy,Purple,,Long Red,Smirk,Pale
1298,2.5,3570,61.93,https://solanart.io/search/?token=5vQs4AkPEqwBX8H2FiqQDseVZebcyRia79UkZYNp5jE,Pain Piercing,Blue,,Tanktop Red,Fire,Fox Mask,Spiky Blonde,,Tan
1307,3,6333,44.49,https://solanart.io/search/?token=7NX5UNE6RA6UGmwxsaQsrrT7ijMzgTVTKJy54UDYrHyh,,Green,,Shinto Uniform,Closed,Noh Mask,Long Teal,,Pale
1320,0.9,3772,77.02,https://solanart.io/search/?token=9EYAbRzVYVmRcYJKHXrqMWo1o3EQsbq7JvgYhkkpUfhD,Stud,Green,,Jumper Teal,Fire,Noh Mask,Braided,,Tan
1329,0.49,7875,62.64,https://solanart.io/search/?token=4r7Mphkh8ou9XNFDULvHqRAkJykbNj1jUHwZwUdbEHv7,Rope Choker,Blue,,KAM1 Jacket,Fire,,Man Bun Teal,Smirk,Tan
1330,2,5987,56.04,https://solanart.io/search/?token=BhvwYHqJuy1CTqHZaJ4M8HJQvpMXvkogu3oPdcevb9pw,Cheek Bandage,Purple,,Suit Teal,Orange,,Dragon,Stiched,Pale
1331,10,104,2.53,https://solanart.io/search/?token=FRxcPobXUuKNDJSxsvztaFFD5hW9JUsGeFBCGTbe5EdZ,,Mystic Red,Dragon Earring,T Shirt Teal,Bulls Eye,Oni Mask,Ponytail White,,Tan
1339,1.9,2416,73.12,https://solanart.io/search/?token=8KPW1XDPoQBuiD587hStHHE1Ggp7B3eSXqE2MvumAauw,,Purple,Ruby Earring,Tanktop Purple,Purple,Snake Tongue,Long Cyan,,Undead
1341,0.49,3952,80.31,https://solanart.io/search/?token=FNzXgnZw2oiR7zQ7gmNwtGwQJor53onyBvJFvnqzfGXE,Nose Ring,Yellow,,T Shirt Black,Purple,Noh Mask,Ponytail White,,Tan
1352,4,6753,32.59,https://solanart.io/search/?token=5STBphdit7W7pDbnFyBovDKbvnRPyK6c3UVa8hNhRqns,,Green,,Rider Jacket,Closed,Snake Tongue,Long Black,,Tan
1355,1,6599,63.29,https://solanart.io/search/?token=8c2GkjEP4VAiyFtGZmAqjgMWgTS5hHZmKhCZf3quoqVD,Celestial Choker,Purple,,Tanktop Teal,Bulls Eye,,Spiky Blonde,Neutral,Pale
1360,10,139,2.37,https://solanart.io/search/?token=AE6QSaP5hhbVm8uDrk1Nmh4L52ZyfRdiz9Crys8TmAsP,,Red,Steampunk Glasses,Suit Teal,Fire,Cigarette,Dragon,,Kaisen
1368,3.6,340,65.47,https://solanart.io/search/?token=79DnptciC22douXCj9dQaTU4UciXdQkPpx6tf9XPL1LJ,Eye Patch,Purple,,Military Uniform,Orange,Hahoe Mask,Ponytail White,,Kaisen
1388,1.49,1992,79.13,https://solanart.io/search/?token=5p687DWALRyJikxGGwkn6d5L1cBWmuEjQY74zSkwbrnm,Eye Patch,Red,,Suit Teal,Purple,,Royal,Angry,Pale Tattooed
1392,4,1009,58.46,https://solanart.io/search/?token=6nd13Ms87Tw6AYRuS336fk9KKmW5yR2vfbjsLvbjABmd,Nose Scar,Mystic Red,,Jumper Navy,Nymph,,Police,Stiched,Undead Tattooed
1394,2,5637,57.62,https://solanart.io/search/?token=8JhXB3LQH6rXL7yptnTHypm3FKTijtm1MQKQBc49wXDL,,Mystic Red,,Skeleton T Shirt,Fire,,Goblin,Fang,Undead Tattooed
1403,1.3,962,85.67,https://solanart.io/search/?token=JW3998Z2M16eVwpGoVoL3PTLK87wWrnJuKLqH9P24tq,,Yellow,Cat Mask,Jumper Navy,Elementalist,Snake Tongue,Textured Purple,,Tan
1417,1.5,6366,59.34,https://solanart.io/search/?token=GeSswkpUeszcjhLEVqx4zW8NvuXhDdrEgm2Dor8mFDA5,Rope Choker,Purple,,Dark Celestial,Purple,,Dreads Rose,Neutral,Pale
1420,3.5,7439,34.51,https://solanart.io/search/?token=3KmFqSTkHWNJTNkBVxzUa6Zm7cZQM5LcMZ4oPHP1Yy4g,,Purple,,Suit Purple,Samsara,,Goblin,Goblin,Undead Tattooed
1426,4,497,60.76,https://solanart.io/search/?token=AB2CH2ycwQBT2JB6ZPCZ8o7sBoLz21HNxQ7iZ6vDJawT,,Yellow,Ruby Earring,T Shirt Teal,Odd Eye,,Dreads Teal,Fang,Zombie
1434,0.75,7380,62.27,https://solanart.io/search/?token=FATkRhJs3Yt2H73PNFoTzWHePhJSvyLeieUBZwg5GFaa,,Blue,,Tanktop Red,Orange,Ghoul Mask,Dreads Red,,Tan
1437,1.5,6959,56.67,https://solanart.io/search/?token=46EiKU8xksyQhGgmgPy4iBsD5mA4D6aZsWPkifBxvMV4,Eye Patch,Purple,,Tanktop Teal,Samsara,,Ponytail White,Shark,Tan
1444,0.7,6087,68.59,https://solanart.io/search/?token=8tchBp9EUExTxXz2kP9jqsDaRxQoUZqYrEfatxbvDJPp,Ear Cuffs,Purple,,Hanbok,Nymph,,Ponytail Red,Angry,Tan
1448,1.2,1873,82.57,https://solanart.io/search/?token=FSssB1DdV8Snr6ooCNT19FFYzofnQUNsNLLNJFoNHBjM,,Blue,Dragon's Fang,Shirtless,Purple,Gas Mask,Dreads Purple,,Tan
1453,0.8,3006,81.47,https://solanart.io/search/?token=3xvYjZYAEFBwJ8h1gQJkLk7XMQZxcHSn5eWUnb1tvA4L,Oni Talisman,Blue,,Jumper Pink,Purple,Fox Mask,Long Black,,Pale
1463,15,485,0,https://solanart.io/search/?token=DLdZDXEUbfc71Z3jSxv6sn5VDfrL2rg8nSCHZtBDrQkp,,Yellow,Wu Zhu Earring,Hoodie,Fire,,Spiky Purple,Fang,Dragon
