id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
146,29.690001,160,0,https://solanart.io/search/?token=HephCn4rGgpuzaaTM9GWxRo4HYof6hwy2xR239bYZZfA,Ydraxiian Bindings,Stone of Ybraxis (Golden),Sky Blue,Ancient Open (Golden),Runic Marking 1,,Ancient Default,Socketed Circlet,Default,None,None
181,20,780,0,https://solanart.io/search/?token=9Hx2m51XFTvgfPurDopwCNFnRczwwDeYgnUAho78W7cx,None,Nephul Tablet,Green,Gold - Default,None,,Eyebrow Raise,Explorer's Hat,Mustache,None,Explorer's Outfit
230,14.99,6874,0,https://magiceden.io/item-details/B77mTkGnfwNgYmPsUDjYF6ift3aScq9DSpxBJD7T4RTg,None,None,Slate Gray,Blue - Oooh,None,,Scope Technology,Flat Bill Cap (Adventure),Narrow,None,Basic Tee (White)
281,12,4627,0,https://alpha.art/t/B9GaTFGiHE8Ma1HVuriDqUxaobGCVGBdwXYUkHSZRUKN,Crucifix of the Maligned,None,Aqua,Black - Open,None,,Sunglasses,Trucker Hat (Purple),Triangular,None,Tutrleneck (Black)
302,8,2129,31.48,https://magiceden.io/item-details/A9qTCcUeLcisewwYYuAfRYu4bc2rTnfMD6Ty3HXFD9UV,None,None,Yellow,White - Sewn,Face Tattoo,,Superhero Mask,Ballcap (Planet),Double-Barrel,None,Hoodie (Purple)
317,9.5,817,21.73,https://solanart.io/search/?token=12zheFsABCAmSv8S3Uw6sFqi3AA1GWskYUMGRJh4GMzQ,None,None,Bone,Gray - Gold Tooth,Hanging Charms,,Flower Eyes,Beanie,Default,Surgical Mask,Overalls
354,3.5,8763,49.95,https://magiceden.io/item-details/HpCnLpFJedUq4f82W3YaioBD1EDc6qz39hWjGAWHBZ9d,None,None,Deep Gray,Blue - Cracked,None,,Sunken,Dad Hat,Piercing (Hoop),None,Basic Tee (Yellow)
407,6.5,4788,35.85,https://magiceden.io/item-details/2uhdsMrueWWhkeRAX6PUEV7vxK1hqXmXDcQ2wQdSfqA2,None,None,Blue,Gray - Side Open,None,,Closed,None,Double-Barrel,Spartan Helmet,Turtleneck (Blue)
446,4.5,9067,38.73,https://solanart.io/search/?token=CNxxA7wHkV46Aezq9ReLHwXmMqsVYRhjdnPBsCxmmV1Z,None,None,Yellow,Green - Cigarette,None,,Glasses (Half-moon),Officer's Cap,Double-Barrel,None,Basic Tee (Blue)
469,4.25,3101,65.1,https://magiceden.io/item-details/7YJJVCkrTzcHkwahkV9SrPu7FxR84tp9hRenb52BgSve,None,None,Fuschia,Black - Gold Tooth,Piercing (Left),,Blindfold,Jr. Sailor Cap,Piercing (Studded Hoop),None,Tutrleneck (Black)
470,5.69,3894,47.52,https://magiceden.io/item-details/7e81cqBpqULgGUqgUsoejmwyJVVfTxHxpVXypo7KtxwR,None,None,Red,Gray - Side Open,Piercing (Left),,Button Eye,Baphomet Horns,Double-Barrel,None,Collared Shirt (Green)
477,4.5,7341,45.64,https://magiceden.io/item-details/9cw7yig5KJ5DPzSw8NYNGYazg65xw4jYCjeVUKggg86z,None,None,Green,Black - Cigarette,None,,Superhero Mask,Dad Hat,Narrow,None,Basic Tee (Purple)
495,20,8734,0,https://solanart.io/search/?token=A93S4qkqUY6BBYkjy2zvD2HD26rRg2289xbRCrv1Bu1a,None,None,Fuschia,Diamond - Default,None,,Bored,Flat Bill Cap (Adventure),Heart,None,None
500,8,8586,5.66,https://solanart.io/search/?token=FKv4V64uq65cA3n376eqZSHTHnU5HPi8LbkYtejBYn8R,None,None,Red,White - Oooh,None,,Monocle,Candle,Default,None,Turtleneck (Red)
528,39,1950,0,https://magiceden.io/item-details/DrCtzAo1R89nRsD8vbysdx7wbGnWedJVLS4GPev6B52A,None,Nephul Tablet,Aqua,Ice - Default,None,,Angry,Propeller Hat,Default,None,Tutrleneck (Black)
541,13,7103,0,https://solanart.io/search/?token=GEkywggd48j5w7WGtNVUrctmgy9Ps2LWeKhaMwZAXBPT,None,None,Fuschia,Gray - Open-minded,Hanging Charms,,Angry,Crystal,Default,None,Tanktop
544,6,3399,46.4,https://magiceden.io/item-details/AH57RqRZuRG6Wa6exeKWCz8YiuLGQdttaCpqdMUQDYKr,None,None,Pink,Purple - Gold Tooth,Piercing (Left),,Default,Stapled Dome,Heart,None,Combat Armor
556,3.75,6662,55.85,https://magiceden.io/item-details/6sskJYEcJ3XoBpCggynRKSPAxhh9bfwzZy8YF74nhgTh,None,None,Purple,Gray - Side Open,None,,Red Visor,Witch,Heart,None,Collared Shirt (Gray)
640,4,4571,61.72,https://magiceden.io/item-details/9dCQ798686HNdMbg3j46u7FYLtLyGq9fcNMVaKokeVwb,None,None,Yellow,White - Side Open,Hanging Charms,,Occular Tech,Horns (Small),Default,None,Tutrleneck (Black)
647,14.99,1936,0,https://magiceden.io/item-details/6s4MSjoM8mShTo9hozFT54pFoAes8HQQUEiBA2Dcqec3,Crucifix of the Maligned,None,Yellow,Green - Open-minded,None,,Superhero Mask,Jewel,Default,None,Star Priest
654,19,1207,0,https://solanart.io/search/?token=J1mKPHPNd9Xs4gbNFqJN6SykheCXCLxHCCe4Q9FJ1zfQ,None,None,Red,Silver - Default,Sigils,,Superhero Mask,Trucker Hat (Purple),Narrow,None,Astronaut
661,500,392,0,https://solanart.io/search/?token=Acaxcy1VxMVyke5Sbpb9GvWJ9FmkG96S1EddX5yvip7y,None,Harrow Staff,Fuschia,Red - Oooh,Piercing (Left),,Adorable,Punk Hair,Piercing (Studded Hoop),Gas Mask,Basic Tee (Blue)
676,11,5257,0,https://solanart.io/search/?token=JCf2aKC2HH52RH8KxMVZsU4wjaqjAJJpYL2MBW6q73J2,None,None,Bone,Yellow - Side Open,None,,Eyebrow Raise,Princess Circlet,Mustache,None,Reaper Cloak
694,6,6569,33.72,https://magiceden.io/item-details/7UQYAiTqByMfjStgrZDyQ4RRLA69gK6A6qA5U2CEwkrj,None,None,Yellow,Red - Default,None,,Googles,Halo 2,Mustache,None,Overalls
697,50,3068,0,https://solanart.io/search/?token=A2b5xwN7xk2HsKTGU7FkZfiTjwwLoc2CFYqVR7YFGUUu,None,None,Red,Blue - Cigarette,Piercing (Left),,Default,Serow,Piercing (Barbell),None,Turtleneck (Blue)
704,7,2862,38.55,https://solanart.io/search/?token=46zjyq9cdyBAypNiFtVVTM4z7sEYurcZKjeAKsPZgApx,None,None,Blue,Green - Open-minded,Freckles,,Glasses (Half-moon),Lil Skully,Triangular,None,Mad Matt Jacket
748,10,493,18.03,https://magiceden.io/item-details/BLHuYNURmspwpTW2ThR6ktTBq2BrUVHqvgd9KNyVNAzE,Sheathed Sword,None,Aqua,Black - Toothy,Piercing (Double),,Dead,Beanie,Default,Gas Mask,Tutrleneck (Black)
756,5.5,7107,36.57,https://magiceden.io/item-details/DXwjsSEzwck6Jz4uGR56GV17f7tzXYE9h71GWkgqK46s,None,None,Bone,Yellow - Fangs,None,,Default,Sailor's Cap,Piercing (Barbell),None,High-Collar Robes
763,55,4223,0,https://alpha.art/t/HqpDspRzZUb63LmuBvctpB8do9oMvc5S1oKqXSHse8Qn,None,None,Sky Blue,Yellow - Gold Tooth,None,,Default,None,Double-Barrel,Astronaut Helmet,Turtleneck (Blue)
767,50,863,0,https://magiceden.io/item-details/DQ7NwXxFg5CyipUr7sZZAkvQ5qauPnM3f6YU4vaA8PNH,None,Harrow Staff,Yellow,Purple - Cracked,None,,Dead,None,Heart,Spartan Helmet,Turtleneck (Green)
774,29.99,2351,0,https://solanart.io/search/?token=Bj88DiasUnb5QYvV3PbFfvmaCYSXEzxhfCb5v1yBAYiu,Divining Staff,None,Fuschia,Black - Open,None,,Eyepatch,Flat Bill Cap (Coffin),Double-Barrel,None,Turtleneck (Blue)
793,2.6,8271,60.92,https://solanart.io/search/?token=Frsffth6JM9DrBhTAmfVbLirTjNE4oooweDHEsFM8hNZ,None,None,Aqua,Purple - Side Open,None,,Eyeballs,Flat Bill Cap (Adventure),Narrow,None,Robe (White)
803,4,1818,72.73,https://solanart.io/search/?token=DVwKj9hQNMpvkgbtAt12UXPxgUFGPy6TvWrZ7BLpJfP3,None,None,Yellow,Green - Sewn,Hanging Charms,,Closed,None,Piercing (Studded Hoop),Reaper Hood,Turtleneck (Red)
804,7,5535,27.86,https://magiceden.io/item-details/2XAzfqYZbzMJ4zmMASYav1zJxmFuAoVDRYUYMGdtwMhd,None,None,Aqua,Green - Open-minded,None,,Toon,Crystal,Narrow,None,Suit
839,24,30,0,https://magiceden.io/item-details/zFcGJ5VSe6oZumSAbZo66gQzB3JjjSPNB1tWjyyka4z,Wheel of Carthyss,Boreal Tablet,Green,Ancient Default,Runic Marking 5,,Sinister,Power Gem,Default,Reverie Beads,None
848,4.4,8093,43.63,https://alpha.art/t/8uwhe9ZbjirRJGndwZ4W6f1uTRF2FBtTJdNASje7rhkz,None,None,Purple,Green - Oooh,None,,Sunglasses,Jr. Sailor Cap,Double-Barrel,None,Basic Tee (Blue)
872,3.99,770,77.02,https://magiceden.io/item-details/AGi1Mohq9obwC8mqrcb2FKuBdAH88WwFvjvGNpFWSHdg,None,None,Deep Gray,Black - Toothy,Sigils,,Sunken,Fez,Double-Barrel,Surgical Mask,Tutrleneck (Black)
904,11,5787,0,https://magiceden.io/item-details/BMuAHeVc769SP44MbPpgA67824LfswC1QFqchRDjHn8V,None,Soul,Aqua,Blue - Fangs,None,,Glasses (Half-moon),Jewel,Triangular,None,Turtleneck (Blue)
993,6.66,4829,34.08,https://solanart.io/search/?token=24Htq1Kx5Sz27vQ25Yq12dcByb6Dpy5jxKTwcXofb4m4,None,None,Yellow,Gray - Cigarette,None,,Occular Tech II,Beanie,Piercing (Studded Hoop),None,Bowtie
1015,199,9998,0,https://solanart.io/search/?token=EVq1URy2jQsrJWnJLmBzb8Hp1FgXC8xiESzXituNLxBH,None,None,Blue,White - Gold Tooth,None,,Closed,None,Default,None,Collared Shirt (Green)
1016,4.88,6333,45.87,https://solanart.io/search/?token=98JBsrQnv1tqRdBT9fVKzTnATFsq1fNpR9GrYe3qXVp,None,None,Green,Red - Lockjaw,None,,Cyclops,Conductor's Hat,Heart,None,Collared Shirt (Green)
1030,7,4764,30.94,https://solanart.io/search/?token=gbPrv1Dm4MGEXvLXntS31MNNUy7kWCNJd1ApZArYFq2,None,None,Aqua,Black - Oooh,Piercing (Left),,Sunglasses (Big),Ballcap (Night),Heart,None,Tanktop
1032,55,523,0,https://magiceden.io/item-details/6rfJy2EKphUtQQoN9dAbDZiPWYZtYNCopqUX3V6Zufco,Crucifix of the Maligned,None,Yellow,Black - Open,Piercing (Double),,Angry,None,Heart,Reaper Hood,High-Collar Robes
1086,99.99,656,0,https://magiceden.io/item-details/7Es4xBmDukub3wTfWtePTjytiJbE77gLvyF3LhsxcDRU,Oerberus Halo,None,Slate Gray,Red - Sewn,Sigils,,Googles,Laurel Wreath,Piercing (Studded Hoop),None,Tanktop
1119,150,835,0,https://solanart.io/search/?token=BVjE2hMNpsXp8aCEduDqtFxxqWeBdDY1GagEuv2V1jK9,None,Soul,Slate Gray,Cybernetic - Default,Piercing (Double),,Flower Eyes,Tilted Halo,Heart,None,Basic Tee (Yellow)
1125,2,8232,67.07,https://solanart.io/search/?token=FbRD2fu36r9BY4b25nNV1vZcirN2iHwud3k4QXh9cbov,None,None,Red,Blue - Open,None,,Monocle,Trucker Hat (Dusty),Triangular,None,Turtleneck (Red)
1138,12,7429,0,https://solanart.io/search/?token=BkkEp9wMQYEpeCrpykubaycrRmNUuS4GjLvEpqtcwXim,None,None,Bone,Gray - Toothy,None,,Coins,Flat Bill Cap (Adventure),Piercing (Hoop),None,Collared Shirt (Gray)
1150,20,308,0,https://magiceden.io/item-details/CwCLKbx7DS7mz5e8zyGtg3wFtSozQ2icHUPov6Mgf88d,None,Look Up,Yellow,Ancient Open,Runic Marking 1,,Ancient Angry,Power Gem,Default,None,None
1159,8,8027,7.89,https://alpha.art/t/G2Xe6tgvwXBSm43uHfLVizSyQWGZ8JSK2132PyodKHPE,None,None,Blue,Purple - Open,None,,Default,Dad Hat,Double-Barrel,None,Suit
1185,14,3314,0,https://alpha.art/t/HsUQp5XEdgLUqDMEoGBCW68uudfNzb1w37NH7935noW7,None,None,Sky Blue,Black - Fangs,None,,Glasses (Round),Propeller Hat,Piercing (Studded Hoop),None,Power Armor
1202,5,3667,55.33,https://magiceden.io/item-details/4mDqYeFoPvrUAYWMzPiEtMASo5viunWDmU2dtyiMy8jj,None,None,Green,Gold - Default,Freckles,,Blindfold,Trucker Hat (Green),Double-Barrel,None,Tutrleneck (Black)
1242,19,6221,0,https://solanart.io/search/?token=F7gLayz8GU4QTP4N8fQGCC7ZYi7qaH55bxTzqL5Npm26,None,None,Green,Blue - Open-minded,Freckles,,Red Visor,None,Narrow,None,Turtleneck (Blue)
1243,10,9316,0,https://solanart.io/search/?token=B93Q8nUPwk3LQVygW6AUru1QXLHgd8HsfrqDtwjTeWJb,None,None,Pink,Black - Cigarette,None,,Googles,Crystal,Heart,None,Tutrleneck (Black)
1245,25,3453,0,https://solanart.io/search/?token=F6uDUPCheVxhvJLbLsN2JrZqRPQ7CXzyedj5CWbAeDFm,Oerberus Halo,None,Aqua,Ice - Default,None,,Glasses (Half-frame),Viking's Helmet,Default,None,Turtleneck (Blue)
1256,30,2846,0,https://solanart.io/search/?token=AdN4khaetTpe5FJRdB3q6FnwknvzLersJrhdKqRherjc,None,None,Red,Green - Lockjaw,Piercing (Left),,Adorable,Punk Hair,Piercing (Hoop),None,Explorer's Outfit
1285,19,8762,0,https://solanart.io/search/?token=2nuGZWiMPwaqPexDMX7wA3YsmwRGGezL6zHmqSVieHbK,None,None,Green,Blue - Cigarette,None,,Default,Trucker Hat (Green),Mustache,None,Turtleneck (Red)
1286,6.25,6650,30.9,https://solanart.io/search/?token=BAEQawaRaDECFu5kTgg3x39FV8DQitD5Kh7nHf8jtUSc,None,None,Green,Red - Lockjaw,None,,Feminine,Baphomet Horns (Golden),Piercing (Barbell),None,Tutrleneck (Black)
1327,9.69,1213,18.25,https://magiceden.io/item-details/9PFjUKVamU8qn5Zr9sqkVgM1jY9XSusQGHg2pb5tdTkn,None,None,Yellow,Purple - Default,Piercing (Right),,Cyclops,Crystal,Default,Gas Mask,High-Collar Robes
1356,6.4,5094,35.62,https://solanart.io/search/?token=3NDXdEhfwCZYgYSEwNrsVFhosM5T7uhA4WrCmubdW6AQ,None,None,Green,Gray - Open-minded,None,,Eyebrow Raise,Crystal,Mustache,Gas Mask,Basic Tee (Yellow)
1383,5.5,2668,54.33,https://magiceden.io/item-details/7Coj5L9pdcN3u4JGrtXG2HSk4vmwCYK8SA5Q4srGoLWL,None,None,Red,Yellow - Default,Sigils,,Bored,Fedora,Piercing (Studded Hoop),None,Robe (Blue)
1391,3.5,8236,52.06,https://magiceden.io/item-details/3cVNWSomV2A8okqST4Nbpk3QjzFiiVkz3ay93K42X4wa,None,None,Green,Purple - Oooh,None,,3D Glasses,Flat Bill Cap (Coffin),Narrow,None,Basic Tee (Purple)
1394,3.9,4482,63.07,https://magiceden.io/item-details/BnTjCF59kjp79YLfSMtKpykcXokSqgs9hUYX9fxxvoBh,None,None,Purple,White - Gold Tooth,Hanging Charms,,Parasite,Viking's Helmet,Piercing (Studded Hoop),None,None
1394,4.3,4482,59.07,https://solanart.io/search/?token=BnTjCF59kjp79YLfSMtKpykcXokSqgs9hUYX9fxxvoBh,None,None,Purple,White - Gold Tooth,Hanging Charms,,Parasite,Viking's Helmet,Piercing (Studded Hoop),None,None
1426,7.11,4564,30.64,https://magiceden.io/item-details/CztQZtBa1UyZEyhqdKtxJuW3r82oAcp8V7r93jjn9LQU,None,None,Slate Gray,Gray - Cigarette,Sigils,,Sunken,Flat Bill Cap (Coffin),Default,None,Basic Tee (Blue)
1468,8,4510,21.96,https://magiceden.io/item-details/FtEeEz7tw8CyQPauhkFiKpusbmBiPTMYL2zT34nYeBbn,None,None,Deep Gray,Purple - Oooh,None,,Sunken,None,Heart,Spartan Helmet,Turtleneck (Green)
1507,12.88,756,0,https://solanart.io/search/?token=7ychUxMQDqu3ZQ8cFFfWbZWWSCZnMZEZbgqo4imHAqc,Oerberus Halo,None,Pink,Yellow - Lockjaw,None,,Bored,Ornamental Circlet,Heart,Surgical Mask,Collared Shirt (Gray)
1596,4,9167,43.33,https://solanart.io/search/?token=9TRvcCiuVsNN5FNaXeuSidXwG3TWBhHRfJSFE8os9bc5,None,None,Red,Black - Gold Tooth,None,,Glasses (Half-frame),Cycling Cap,Triangular,None,Tutrleneck (Black)
1603,18.690001,2229,0,https://solanart.io/search/?token=9KtkgXiumsiFGN3coUtayjCRSKa5iNTq6ikrhNjY4epo,Oerberus Halo,None,Purple,Slime - Default,None,,Angry,Bowler,Narrow,None,Overalls
1620,18,954,0,https://magiceden.io/item-details/CtCVHpJCGPdoNfyv5xdVAGRJL47vLhtcwVmcW8cGq7fX,Divining Staff,Soul,Fuschia,Blue - Sewn,None,,Closed,Punk Hair,Triangular,None,Basic Tee (Red)
1623,22,3723,0,https://solanart.io/search/?token=64SWobmCRXkv2WqaPtAmRBjiJFpsgwaMy27PAsQcLC2r,None,None,Blue,Gray - Cracked,Piercing (Right),,Bored,Trucker Hat (Green),Piercing (Barbell),None,Hoodie (Gray)
1642,15,627,0,https://solanart.io/search/?token=FqAYgKqiBWoWeosyH34M71yUPtmcbSuHbxTam3Nb7RZM,Draelic Nimbus,None,Sky Blue,Golden Automaton - Default,None,,Eyeballs,Athletic Visor,Double-Barrel,Bandana,Basic Tee (Black)
1644,19,6759,0,https://solanart.io/search/?token=5WMoUVZDvScuvVu76VgRcKKDpoVNrvZoYfEbqComLam8,None,None,Bone,Green - Side Open,None,,Bored,Sailor's Cap,Piercing (Hoop),None,Silver Armor
1653,19,6183,0,https://solanart.io/search/?token=De1XT8BboHHLoZJF87MS86Rhtrgvks4MiFiEpn6bbBeV,None,None,Purple,White - Open,Freckles,,Adorable,Headband,Default,None,Collared Shirt (White)
1677,6.9,7683,20.27,https://alpha.art/t/62G4mt12THae5VSbFLBGebGxfkAvWAjSk3QE19rnrffs,None,None,Green,White - Toothy,None,,Glasses (Half-moon),Halo 2,Mustache,None,Hoodie (Red)
1681,3.4,1593,79.63,https://alpha.art/t/2mPH39Vmjzf8swSAx1iTQWsisBJHuw1j68p1dH5npGvR,None,None,Blue,Gray - Default,Freckles,,Sunken,Halo 2,Default,Surgical Mask,Turtleneck (Green)
1686,9,6797,2.81,https://solanart.io/search/?token=GCruXJw7AyucKUDhuVQqgkb7zmijwxUvbtCzaSJVCdqm,None,None,Yellow,Blue - Open-minded,Piercing (Left),,Eyeballs,Crystal,Heart,None,Collared Shirt (Green)
1702,6.495020443,6670,28.37,https://magiceden.io/item-details/7XtJxVd1ahkh4tZQsSDTMduFjEjeEy9KLcTKM9dypcc1,None,None,Fuschia,Gray - Cigarette,None,,Occular Tech II,Beanie,Narrow,None,Tutrleneck (Black)
1719,2.8,4061,75.76,https://magiceden.io/item-details/7u2NmPbSmxPadaw3RmSFcwKcVUyLSHC8F1JcoEQqFDSw,None,None,Bone,Green - Default,Piercing (Left),,Angry,Stapled Dome,Heart,None,Metal Robe
1726,6,2094,51.62,https://magiceden.io/item-details/H84VWaKKWtQqbT6g8T11PeEcn2K3RWS72W6VcFZqSrfq,None,None,Blue,Yellow - Oooh,Freckles,,Closed,Flat Bill Cap (Coffin),Default,Gas Mask,Turtleneck (Blue)
1735,6.9,6854,23.58,https://solanart.io/search/?token=9fy6iqRGoRBFHGnzrxuWY2WLC9N1LX7r1uFATSXCKiuv,None,None,Yellow,Purple - Cigarette,None,,Scope Technology,Tiny Crown,Narrow,None,Tanktop
1745,10,9903,0,https://solanart.io/search/?token=eKQgNkcg1CQLrxr1wD9UyEiu7Pwt74YpGeUv4Hp1iHa,None,None,Blue,Purple - Open-minded,None,,Eyebrow Raise,None,Narrow,None,Hoodie (Red)
1747,8.88,4045,15.02,https://alpha.art/t/BKzLyf8HrW1bSuDQcWN2UGaXSCiH5pwqokNkhTHAkJSd,Sheathed Sword,None,Aqua,Red - Lockjaw,None,,Angry,Tilted Halo,Double-Barrel,None,Basic Tee (Yellow)
1751,6.6,9809,14.76,https://alpha.art/t/FN8omtP5gQ4pXyMWba8whh5dmEfrzGJpEWGpHCAsaxYM,None,None,Deep Gray,Green - Open-minded,None,,Sunglasses,Jewel,Triangular,None,None
1757,30,2168,0,https://magiceden.io/item-details/CauAuKzKc4Mxy7fShSJ4Q7Zfjm36GvPAGo9E3XHaZcmT,None,None,Green,Gray - Sewn,Piercing (Left),,Reptilian,Bow,Default,None,Combat Armor
1781,12,2125,0,https://magiceden.io/item-details/2o7PJeN3ArdegkEbMWGoqFPo8FqiVReAdUC87wDgVh8e,Divining Staff,None,Red,Purple - Side Open,None,,Sunglasses,Flat Bill Cap (Coffin),Piercing (Barbell),None,Turtleneck (Blue)
1797,3.5,8044,52.82,https://solanart.io/search/?token=Bi215nUuEUFQuuJ994oCh5wxzN95Avx4xSzcXMpD3ECs,None,None,Green,Purple - Default,None,,Bored,Princess Circlet,Double-Barrel,None,Basic Tee (White)
1806,9.69,2972,11.21,https://solanart.io/search/?token=E3jUfK1JKBHq25yRcwwhaeR3SA4KvrZKze7BqPiVo2U6,None,None,Purple,White - Lockjaw,None,,Closed,None,Narrow,Astronaut Helmet,Suit
1821,5,6929,42.28,https://solanart.io/search/?token=J21Vj8hpmYcEn329rFgVbohua5Tt2TYmHfbTMTPKmPZk,None,None,Purple,Green - Sewn,None,,Eyepatch,Officer's Cap,Narrow,None,Hoodie (Blue)
1825,11,6136,0,https://alpha.art/t/GTofzqf8Z4A28Fj5ZeuQY7NjMWR3BnSUvKtKPiWa7sPX,None,None,Slate Gray,Gray - Gold Tooth,Piercing (Right),,Dead,Bowler,Narrow,None,Basic Tee (Yellow)
1863,2.35,9620,58.02,https://magiceden.io/item-details/4qiv9jqRuZkM1VsWKN2KRpEiSdmHEbK2iqntC7veoHi4,None,None,Green,Yellow - Side Open,None,,Feminine,Stapled Dome,Default,None,Basic Tee (Purple)
1882,7.42,5272,24.71,https://magiceden.io/item-details/C6mNwA4n7iqULTw9KGdjqmMynAC5wqoPHX2KqgCuqnLR,None,None,Slate Gray,Black - Open,Piercing (Left),,Eyeballs,Witch,Heart,None,Basic Tee (Yellow)
1894,9.99,3903,4.49,https://magiceden.io/item-details/HgnPKy2MwGpDECgJF9XxcWBwemxXR4mCwWtcDmG84wkH,None,None,Blue,Black - Cracked,Hanging Charms,,Eyebrow Raise,Flat Bill Cap (Adventure),Piercing (Barbell),None,Leather Jacket
1905,10,7034,0,https://alpha.art/t/9qcHehQLYxhPRWgbYUr8j4pS5UEEFsCNGab8GSDVWpzu,None,None,Purple,Blue - Sewn,Sigils,,Button Eye,None,Heart,None,None
1914,55,82,0,https://magiceden.io/item-details/6h9KmUseBwSVd1Wzmq8WtWKdLdBUJSZH9irPt6HFXEcg,Wheel of Carthyss,Look Up,Slate Gray,Ancient Default,Runic Marking 4,,Ancient Bored,Power Gem,Beaded,None,None
1928,100,1838,0,https://magiceden.io/item-details/31JRpS7ph9GfonhFeEUqU1XpKuV1q3Pgv4k3q3A6ug9D,Herald's Halo,None,Green,Red - Cigarette,Piercing (Left),,3D Glasses,Crystal,Heart,None,Collared Shirt (Gray)
1938,4.5,7259,45.96,https://magiceden.io/item-details/GCoaB4Lm5bMreA3YyiF3eYCYKeqMYbSmXvXkDMvE5pbW,None,None,Fuschia,Purple - Default,None,,Dead,Propeller Hat,Triangular,None,Robe (Pink)
1949,4.5,1118,70.53,https://solanart.io/search/?token=4HZSiqhjCavProhpXKh8cY5piLssbRJRpFJftsVwYgdJ,None,Soul,Deep Gray,Purple - Fangs,Hanging Charms,,Superhero Mask,Cowboy Hat,Heart,None,Basic Tee (Yellow)
1964,10,8403,0,https://solanart.io/search/?token=FUR3heF5pDpm6dLRsUpCLJSqqMowSe4KtGSh6iSf93fG,None,None,Red,Green - Toothy,None,,Bored,Jr. Sailor Cap,Narrow,None,Basic Tee (Yellow)
1967,44,717,0,https://solanart.io/search/?token=H8gvRJ6AHEBygLduMoCe2KgGXipnSiHPpP321gVgqufg,Herald's Halo,Soul,Sky Blue,Red - Open,None,,Possessed,Headband,Heart,None,Hoodie (Blue)
